Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,PBE0,def2-TZVP,971.0,0.0,3.0,0.023429,450.33,3594.4,16.0,479455.0,-3199.31748766,-3198.95580718,0.09641992,-3199.0522271,13.82,17.89,18.64,20.47
CAGROU-S1,PBE0,def2-TZVP,1615.0,0.0,3.0,0.036439,652.48,3469.8,16.0,1073569.0,-3203.50859162,-3202.9339459,0.09564625,-3203.02959215,17.49,21.52,23.09,30.38
DAGLUU01-S5,PBE0,def2-TZVP,687.0,0.0,3.0,0.809317,335.01,3343.9,16.0,155372.0,-2833.47719639,-2833.22743241,0.06536767,-2833.29280008,27.94,32.51,55.42,69.04
DEDWUE-S3,PBE0,def2-TZVP,1549.0,0.0,3.0,0.016978,588.6,3230.6,16.0,1255146.0,-2879.65235408,-2878.88190238,0.11012346,-2878.99202584,20.2,25.34,43.09,43.28
FEGVOE01-S5,PBE0,def2-TZVP,1423.0,0.0,3.0,0.824608,552.77,3343.1,16.0,1146513.0,-3125.30207754,-3124.50208715,0.12058626,-3124.62267341,15.93,19.05,21.06,27.86
FEPHCY03-S3,PBE0,def2-TZVP,1381.0,0.0,3.0,0.027202,568.38,17603.7,32.0,984429.0,-2929.42698047,-2928.98061183,0.08194746,-2929.06255929,20.56,41.13,52.67,57.14
FEROCE87-S1,PBE0,def2-TZVP,415.0,0.0,3.0,0.056024,186.03,1100.0,16.0,39913.0,-1650.24590805,-1650.06815474,0.0465689,-1650.11472364,26.72,110.06,129.78,220.16
GORKIJ-S5,PBE0,def2-TZVP,1511.0,0.0,3.0,0.499566,574.21,3440.9,16.0,1355186.0,-2845.8663168,-2845.07746068,0.10883097,-2845.18629165,32.92,33.62,38.7,40.1
HAZQAD-S1,PBE0,def2-TZVP,1647.0,0.0,3.0,0.040061,626.67,3277.6,16.0,1993381.0,-3025.77757817,-3024.93741553,0.12861372,-3025.06602925,12.43,13.59,14.44,16.66
HMPBFE-S5,PBE0,def2-TZVP,1673.0,0.0,3.0,0.078451,650.24,3421.8,16.0,2341687.0,-3138.68399548,-3137.89858033,0.12239293,-3138.02097326,19.56,28.23,35.36,36.32
IBUVUW02-S5,PBE0,def2-TZVP,1591.0,0.0,3.0,0.025978,664.47,3344.0,16.0,786136.0,-3326.40337055,-3325.8766552,0.11353977,-3325.99019497,10.17,10.44,12.76,12.81
IKIJIX-S5,PBE0,def2-TZVP,1559.0,0.0,3.0,0.82174,716.35,3301.0,16.0,1232883.0,-7915.51207417,-7914.79518508,0.11285635,-7914.90804144,13.82,17.17,30.52,39.59
JIRSUB-S3,PBE0,def2-TZVP,1706.0,0.0,3.0,0.049856,651.68,3160.7,16.0,1736796.0,-3485.47433861,-3484.49669993,0.12248214,-3484.61918207,18.01,35.29,37.47,40.48
OCAHAE-S5,PBE0,def2-TZVP,1108.0,0.0,3.0,0.038832,475.24,3575.5,16.0,543673.0,-2726.61657849,-2726.22625066,0.08495497,-2726.31120562,19.56,21.41,29.71,37.95
OCAHEI-S5,PBE0,def2-TZVP,1355.0,0.0,3.0,0.036072,562.35,3474.9,16.0,998967.0,-2979.62899465,-2979.13468857,0.09779254,-2979.2324811,13.32,15.89,19.71,20.8
POGXUG-S5,PBE0,def2-TZVP,1105.0,0.0,3.0,0.03175,620.28,3415.8,16.0,1516701.0,-7993.77872758,-7993.43860803,0.09209225,-7993.53070027,4.44,10.84,14.79,16.65
QAHVIE10-S5,PBE0,def2-TZVP,1479.0,0.0,3.0,0.028053,648.55,3504.3,16.0,769655.0,-3827.58205858,-3827.0860634,0.10411759,-3827.19018099,11.35,12.68,13.15,17.29
QOPBIH-S5,PBE0,def2-TZVP,1069.0,0.0,3.0,0.029794,446.28,3520.5,16.0,534203.0,-2601.2048445,-2600.73232048,0.09606546,-2600.82838593,15.09,26.18,29.73,33.8
RUWZUF-S5,PBE0,def2-TZVP,1155.0,0.0,3.0,0.717071,450.39,3524.3,16.0,986055.0,-2457.05412763,-2456.51755297,0.09177695,-2456.60932992,23.92,29.24,29.94,32.58
SAKWIM-S5,PBE0,def2-TZVP,1636.0,0.0,3.0,0.844796,657.05,3309.2,16.0,2312590.0,-4055.69982475,-4054.69945252,0.13652967,-4054.83598219,19.07,28.73,35.09,40.8
SUVROS-S5,PBE0,def2-TZVP,815.0,0.0,3.0,0.775878,393.16,3778.7,16.0,185894.0,-3312.66414169,-3312.28551834,0.07568458,-3312.36120292,13.5,19.95,29.16,34.64
YIMHOT-S5,PBE0,def2-TZVP,1850.0,0.0,3.0,0.179711,682.78,17219.5,32.0,4268797.0,-3121.09646186,-3120.1255545,0.13289605,-3120.25845055,14.72,18.23,22.79,26.23
YUMVUX10-S5,PBE0,def2-TZVP,1263.0,0.0,3.0,0.032566,528.82,6523.7,16.0,1142127.0,-3470.86599877,-3470.2003191,0.11343134,-3470.31375044,26.74,34.34,35.51,40.49
