Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,M06L,def2-TZVP,971.0,0.0,3.0,0.100832,450.33,4406.9,16.0,338202.0,-3200.95577935,-3200.5737404,0.07634179,-3200.65008219,69.32,87.94,93.54,98.17
CAGROU-S1,M06L,def2-TZVP,1615.0,0.0,3.0,0.023911,652.48,7194.2,16.0,583387.0,-3205.72573975,-3205.15383477,0.09580686,-3205.24964163,17.5,21.07,21.88,27.37
DAGLUU01-S5,M06L,def2-TZVP,687.0,0.0,3.0,0.165326,335.01,1696.4,16.0,88492.0,-2834.6417738,-2834.39224626,0.0643395,-2834.45658576,34.07,44.5,61.17,78.83
DEDWUE-S3,M06L,def2-TZVP,1549.0,0.0,3.0,0.079718,588.6,3621.3,16.0,361208.0,-2881.5680165,-2880.79592698,0.10917427,-2880.90510125,20.34,26.93,43.64,48.17
FEGVOE01-S5,M06L,def2-TZVP,1423.0,0.0,3.0,0.707168,552.77,7231.6,16.0,570924.0,-3127.14955604,-3126.30938158,0.09293966,-3126.40232124,84.69,87.86,92.71,103.03
FEPHCY03-S3,M06L,def2-TZVP,1381.0,0.0,3.0,0.090616,568.38,3618.7,16.0,458417.0,-2931.33027363,-2930.8845558,0.08176509,-2930.9663209,20.09,40.94,55.24,65.2
FEROCE87-S1,M06L,def2-TZVP,415.0,0.0,3.0,0.068968,186.03,524.5,16.0,25094.0,-1650.85366134,-1650.67640908,0.04608196,-1650.72249103,23.57,87.49,136.02,243.58
GORKIJ-S5,M06L,def2-TZVP,1511.0,0.0,3.0,0.199338,574.21,3630.9,16.0,519133.0,-2847.76439775,-2846.97625095,0.10890543,-2847.08515638,6.21,29.73,37.08,38.86
HAZQAD-S1,M06L,def2-TZVP,1647.0,0.0,3.0,0.077583,626.67,7208.7,16.0,283265.0,-3027.87005255,-3026.98931427,0.09765862,-3027.08697289,66.44,69.05,74.03,78.77
HMPBFE-S5,M06L,def2-TZVP,1673.0,0.0,3.0,0.033797,650.24,3675.5,16.0,819618.0,-3140.87275503,-3140.08818756,0.12119081,-3140.20937837,16.72,30.16,33.27,33.48
IBUVUW02-S5,M06L,def2-TZVP,1591.0,0.0,3.0,0.080621,664.47,3570.8,16.0,329902.0,-3328.72421142,-3328.20243398,0.11336542,-3328.3157994,0.68,1.98,6.02,7.93
IKIJIX-S5,M06L,def2-TZVP,1559.0,0.0,3.0,0.550143,716.35,3579.2,16.0,721190.0,-7917.74942548,-7917.03214387,0.11215168,-7917.14429555,4.04,11.11,26.91,30.63
JIRSUB-S3,M06L,def2-TZVP,1706.0,0.0,3.0,0.064626,651.68,7195.0,16.0,832767.0,-3487.60587748,-3486.58044805,0.09691551,-3486.67736355,77.27,102.53,108.23,112.02
OCAHAE-S5,M06L,def2-TZVP,1108.0,0.0,3.0,0.257971,475.24,6151.4,16.0,193450.0,-2728.29264573,-2727.87970186,0.06765012,-2727.94735198,96.78,108.07,126.83,133.77
OCAHEI-S5,M06L,def2-TZVP,1355.0,0.0,3.0,0.14758,562.35,11214.5,16.0,1507089.0,-2981.57076691,-2981.07696489,0.09529904,-2981.17226392,13.96,19.68,23.43,25.21
POGXUG-S5,M06L,def2-TZVP,1105.0,0.0,3.0,0.038509,620.28,5873.6,16.0,206602.0,-7995.82853365,-7995.46894176,0.07480064,-7995.5437424,61.65,78.92,84.95,97.69
QAHVIE10-S5,M06L,def2-TZVP,1479.0,0.0,3.0,0.097346,648.55,7224.0,16.0,722544.0,-3829.91683233,-3829.39089561,0.08253999,-3829.4734356,72.62,80.29,82.76,87.13
QOPBIH-S5,M06L,def2-TZVP,1069.0,0.0,3.0,0.101087,446.28,3620.2,16.0,350218.0,-2602.76274625,-2602.29129313,0.09578458,-2602.38707771,10.96,24.13,27.9,28.53
RUWZUF-S5,M06L,def2-TZVP,1155.0,0.0,3.0,0.466397,450.39,3619.9,16.0,385982.0,-2458.54368822,-2458.00629004,0.09040343,-2458.09669347,23.55,27.49,30.61,33.83
SAKWIM-S5,M06L,def2-TZVP,1636.0,0.0,3.0,0.522476,657.05,7202.4,16.0,1086534.0,-4057.93752943,-4056.93234173,0.13333791,-4057.06567964,32.33,36.01,41.49,46.66
SUVROS-S5,M06L,def2-TZVP,815.0,0.0,3.0,0.451456,393.16,3071.8,16.0,107176.0,-3314.02627485,-3313.64805272,0.07391175,-3313.72196446,20.63,25.95,41.49,44.03
YIMHOT-S5,M06L,def2-TZVP,1850.0,0.0,3.0,0.171349,682.78,7172.7,16.0,1380922.0,-3123.32604517,-3122.35320854,0.12935442,-3122.48256296,8.54,18.42,28.2,32.07
YUMVUX10-S5,M06L,def2-TZVP,1263.0,0.0,3.0,0.08079,528.82,3635.2,16.0,362065.0,-3472.67685023,-3472.01070637,0.11264229,-3472.12334867,30.47,38.42,46.07,47.99
