Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,TPSSh,def2-TZVP,971.0,0.0,3.0,0.037429,450.33,3594.3,16.0,466196.0,-3201.2402843,-3200.88220322,0.09702675,-3200.97922997,13.2,17.8,19.67,20.01
CAGROU-S1,TPSSh,def2-TZVP,1615.0,0.0,3.0,0.024472,652.48,3469.0,16.0,1284405.0,-3206.15790212,-3205.59090085,0.09693362,-3205.68783447,16.58,19.84,21.56,27.69
DAGLUU01-S5,TPSSh,def2-TZVP,687.0,0.0,3.0,0.815023,335.01,3344.1,16.0,209744.0,-2834.87341941,-2834.62583302,0.06602693,-2834.69185995,26.01,37.2,56.48,65.19
DEDWUE-S3,TPSSh,def2-TZVP,1549.0,0.0,3.0,0.024012,588.6,3228.0,16.0,1285404.0,-2881.95903154,-2881.19389025,0.11102539,-2881.30491564,17.75,22.5,43.15,45.26
FEGVOE01-S5,TPSSh,def2-TZVP,1423.0,0.0,3.0,0.739646,552.77,3340.4,16.0,1700303.0,-3127.50391119,-3126.70840115,0.12194326,-3126.83034441,16.54,18.29,22.2,30.57
FEPHCY03-S3,TPSSh,def2-TZVP,1381.0,0.0,3.0,0.026894,568.38,3334.8,16.0,631634.0,-2931.71623392,-2931.27491585,0.08259353,-2931.35750938,18.97,40.85,49.9,64.43
FEROCE87-S1,TPSSh,def2-TZVP,415.0,0.0,3.0,0.047445,186.03,1100.0,16.0,46930.0,-1651.0099285,-1650.83380974,0.04674235,-1650.88055208,33.59,109.6,129.13,180.27
GORKIJ-S5,TPSSh,def2-TZVP,1511.0,0.0,3.0,0.218429,574.21,3441.1,16.0,1523059.0,-2848.13762062,-2847.35478027,0.11008091,-2847.46486117,36.34,38.64,39.42,42.88
HAZQAD-S1,TPSSh,def2-TZVP,1647.0,0.0,3.0,0.039597,626.67,3275.1,16.0,2239933.0,-3028.27321659,-3027.43926329,0.13103797,-3027.57030126,11.36,12.85,14.5,15.82
HMPBFE-S5,TPSSh,def2-TZVP,1673.0,0.0,3.0,0.015202,650.24,3421.3,16.0,2756596.0,-3141.27086439,-3140.49152671,0.12341831,-3140.61494502,20.74,31.37,32.59,38.79
IBUVUW02-S5,TPSSh,def2-TZVP,1591.0,0.0,3.0,0.044773,664.47,3343.6,16.0,863807.0,-3329.13613559,-3328.61626782,0.11457553,-3328.73084335,8.6,9.15,11.91,13.24
IKIJIX-S5,TPSSh,def2-TZVP,1559.0,0.0,3.0,0.460155,716.35,3301.2,16.0,1684376.0,-7918.12033064,-7917.40925753,0.1136836,-7917.52294113,12.94,15.57,17.59,22.85
JIRSUB-S3,TPSSh,def2-TZVP,1706.0,0.0,3.0,0.039591,651.68,3159.1,16.0,1802955.0,-3488.01946111,-3487.04845178,0.12516706,-3487.17361884,15.83,34.3,35.86,38.71
OCAHAE-S5,TPSSh,def2-TZVP,1108.0,0.0,3.0,0.076841,475.24,3575.7,16.0,608138.0,-2728.59722734,-2728.21134842,0.08550574,-2728.29685416,19.14,20.18,30.82,40.98
OCAHEI-S5,TPSSh,def2-TZVP,1355.0,0.0,3.0,0.074427,562.35,3474.5,16.0,873416.0,-2981.93941028,-2981.45015406,0.09840356,-2981.54855762,13.8,15.15,19.34,20.43
POGXUG-S5,TPSSh,def2-TZVP,1105.0,0.0,3.0,0.024917,620.28,3572.1,16.0,661110.0,-7996.14838373,-7995.81250697,0.09188741,-7995.90439437,7.69,13.93,16.54,20.27
QAHVIE10-S5,TPSSh,def2-TZVP,1479.0,0.0,3.0,0.03066,648.55,3503.5,16.0,778950.0,-3830.30291157,-3829.81266141,0.10467312,-3829.91733454,11.63,14.08,14.43,18.32
QOPBIH-S5,TPSSh,def2-TZVP,1069.0,0.0,3.0,0.029863,446.28,3519.7,16.0,594845.0,-2603.05698823,-2602.58844084,0.09688652,-2602.68532736,16.17,23.87,29.43,34.64
RUWZUF-S5,TPSSh,def2-TZVP,1155.0,0.0,3.0,0.334125,450.39,3523.3,16.0,1079888.0,-2458.84358037,-2458.31057833,0.09250947,-2458.4030878,21.36,28.52,30.67,32.16
SAKWIM-S5,TPSSh,def2-TZVP,1636.0,0.0,3.0,0.7713,657.05,3307.9,16.0,2102448.0,-4058.34805777,-4057.35276061,0.13868005,-4057.49144066,18.15,27.96,32.64,39.95
SUVROS-S5,TPSSh,def2-TZVP,815.0,0.0,3.0,0.75301,393.16,3778.6,16.0,202392.0,-3314.31224809,-3313.93678324,0.07648261,-3314.01326585,12.55,19.34,28.21,32.29
YIMHOT-S5,TPSSh,def2-TZVP,1850.0,0.0,3.0,0.11425,682.78,17216.9,32.0,4167270.0,-3123.74631051,-3122.78223274,0.13491004,-3122.91714278,13.11,16.57,21.04,25.9
YUMVUX10-S5,TPSSh,def2-TZVP,1263.0,0.0,3.0,0.035179,528.82,3538.3,16.0,1856699.0,-3473.04136741,-3472.38021855,0.11520799,-3472.49542654,25.14,32.96,34.53,38.89
