Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BOYDOI-S5,B3LYP,def2-TZVP,971.0,0.0,3.0,0.023015,450.33,3724.8,16.0,518787.0,-3200.34327992,-3199.98420462,0.09740176,-3200.08160638,13.24,17.84,19.39,20.3
CAGROU-S1,B3LYP,def2-TZVP,1615.0,0.0,3.0,0.027101,652.48,3468.2,16.0,1192486.0,-3204.76678495,-3204.19661594,0.09618216,-3204.2927981,16.8,21.07,22.48,29.95
DAGLUU01-S5,B3LYP,def2-TZVP,687.0,0.0,3.0,0.722722,335.01,3343.6,16.0,161171.0,-2834.19640827,-2833.94807197,0.06547241,-2834.01354438,27.07,34.1,53.5,68.59
DEDWUE-S3,B3LYP,def2-TZVP,1549.0,0.0,3.0,0.016156,588.6,3227.4,16.0,1063980.0,-2880.68633334,-2879.91999314,0.11033287,-2880.03032601,19.21,25.7,42.75,44.99
FEGVOE01-S5,B3LYP,def2-TZVP,1423.0,0.0,3.0,0.699864,552.77,3338.0,16.0,1401689.0,-3126.32452353,-3125.52739059,0.12032908,-3125.64771967,16.35,24.75,26.02,30.04
FEPHCY03-S3,B3LYP,def2-TZVP,1381.0,0.0,3.0,0.017184,568.38,3334.7,16.0,751436.0,-2930.51513086,-2930.07268819,0.08226717,-2930.15495536,20.66,40.41,54.26,62.88
FEROCE87-S1,B3LYP,def2-TZVP,415.0,0.0,3.0,0.05304,186.03,1099.7,16.0,43962.0,-1650.60246274,-1650.42593856,0.04706386,-1650.47300242,29.24,107.18,123.11,201.37
GORKIJ-S5,B3LYP,def2-TZVP,1511.0,0.0,3.0,0.415693,574.21,3437.5,16.0,1289393.0,-2846.88307321,-2846.09807355,0.10967423,-2846.20774778,28.3,30.36,33.93,36.25
HAZQAD-S1,B3LYP,def2-TZVP,1647.0,0.0,3.0,0.035078,626.67,3265.2,16.0,1716821.0,-3026.92347937,-3026.08798816,0.13130406,-3026.21929221,8.66,8.89,12.35,14.26
HMPBFE-S5,B3LYP,def2-TZVP,1673.0,0.0,3.0,0.020585,650.24,3417.5,16.0,2405231.0,-3139.86764767,-3139.08704876,0.12304147,-3139.21009022,21.52,26.11,32.89,34.26
IBUVUW02-S5,B3LYP,def2-TZVP,1591.0,0.0,3.0,0.022427,664.47,3341.8,16.0,849301.0,-3327.76687613,-3327.24489933,0.11413664,-3327.35903597,10.54,10.73,12.49,13.67
IKIJIX-S5,B3LYP,def2-TZVP,1559.0,0.0,3.0,0.748591,716.35,3298.6,16.0,1530864.0,-7916.85879792,-7916.14551228,0.11311529,-7916.25862757,13.36,14.84,32.91,36.29
JIRSUB-S3,B3LYP,def2-TZVP,1706.0,0.0,3.0,0.042406,651.68,3156.0,16.0,1777698.0,-3486.59435486,-3485.62046492,0.12338659,-3485.74385152,16.57,34.52,36.43,38.07
OCAHAE-S5,B3LYP,def2-TZVP,1108.0,0.0,3.0,0.030536,475.24,3574.5,16.0,602281.0,-2727.62255534,-2727.23524994,0.08540093,-2727.32065087,19.56,20.59,30.06,38.11
OCAHEI-S5,B3LYP,def2-TZVP,1355.0,0.0,3.0,0.030334,562.35,3472.5,16.0,1016057.0,-2980.7856596,-2980.29472918,0.09826207,-2980.39299125,13.08,15.54,19.96,20.65
POGXUG-S5,B3LYP,def2-TZVP,1105.0,0.0,3.0,0.015083,620.28,3415.1,16.0,724971.0,-7995.12942488,-7994.79251066,0.09257288,-7994.88508355,6.81,11.53,14.71,18.45
QAHVIE10-S5,B3LYP,def2-TZVP,1479.0,0.0,3.0,0.022142,648.55,3502.1,16.0,790412.0,-3828.94395979,-3828.4522788,0.10451328,-3828.55679207,12.07,14.18,14.38,18.67
QOPBIH-S5,B3LYP,def2-TZVP,1069.0,0.0,3.0,0.027738,446.28,3518.4,16.0,530877.0,-2602.14279789,-2601.67338364,0.09732461,-2601.77070825,14.72,22.23,26.0,30.64
RUWZUF-S5,B3LYP,def2-TZVP,1155.0,0.0,3.0,0.437777,450.39,3522.3,16.0,942994.0,-2457.87847489,-2457.3444139,0.09196773,-2457.43638163,21.65,29.21,32.36,35.12
SAKWIM-S5,B3LYP,def2-TZVP,1636.0,0.0,3.0,0.820539,657.05,3304.6,16.0,2029066.0,-4056.942223,-4055.9445668,0.13682342,-4056.08139023,16.34,28.63,33.62,40.4
SUVROS-S5,B3LYP,def2-TZVP,815.0,0.0,3.0,0.708664,393.16,3777.7,16.0,178737.0,-3313.50669485,-3313.13000067,0.07631378,-3313.20631445,11.79,19.83,25.58,32.87
YIMHOT-S5,B3LYP,def2-TZVP,1850.0,0.0,3.0,0.2123,682.78,17212.4,32.0,4836749.0,-3122.26559368,-3121.29910006,0.13376716,-3121.43286722,14.21,20.39,24.33,28.81
YUMVUX10-S5,B3LYP,def2-TZVP,1263.0,0.0,3.0,0.030917,528.82,3536.7,16.0,1368439.0,-3471.92413964,-3471.26198989,0.11441486,-3471.37640475,19.59,29.7,33.05,37.37
