Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
NUKXAS_1,WB97M-D3BJ,def2-TZVP,1136.0,-2.0,1.0,436.47,1590.4,16.0,112395.0,-1483.22265016,-1482.74274921,0.0794492,-1482.82219841,14.0,23.63,27.94,35.97
OWOSOK_1,WB97M-D3BJ,def2-TZVP,790.0,-2.0,1.0,322.26,2809.7,8.0,88837.0,-1221.41073743,-1221.06990543,0.06527787,-1221.13518331,29.89,36.22,51.0,56.39
RUMXUV_1,WB97M-D3BJ,def2-TZVP,723.0,-2.0,1.0,313.31,2582.0,8.0,124873.0,-1436.83090326,-1436.57776749,0.06113987,-1436.63890736,32.72,61.08,70.91,105.14
SITVIA_1,WB97M-D3BJ,def2-TZVP,704.0,-2.0,1.0,278.27,2541.1,8.0,91222.0,-986.49609843,-986.21075414,0.05999459,-986.27074874,28.9,35.43,60.57,82.83
TISGIL,WB97M-D3BJ,def2-TZVP,1124.0,-2.0,1.0,418.48,2680.0,8.0,224125.0,-1341.39400667,-1340.93910629,0.08293684,-1341.02204313,13.42,17.09,21.79,29.47
VATGON_1,WB97M-D3BJ,def2-TZVP,1036.0,-2.0,1.0,408.4,2692.0,8.0,186354.0,-1489.58072267,-1489.08271829,0.08849152,-1489.1712098,6.35,23.02,27.36,34.87
VIYJEU,WB97M-D3BJ,def2-TZVP,1162.0,-2.0,1.0,462.4,2634.7,8.0,209707.0,-1638.26753373,-1637.84823087,0.09034594,-1637.93857681,3.26,10.14,16.13,26.57
WEKKUT_3,WB97M-D3BJ,def2-TZVP,852.0,-2.0,1.0,334.34,2785.8,8.0,96033.0,-1174.78455823,-1174.42527985,0.06585632,-1174.49113617,39.41,49.46,52.29,63.25
XEBQAY_1,WB97M-D3BJ,def2-TZVP,1184.0,-2.0,1.0,468.45,2662.1,8.0,224835.0,-1722.60690527,-1722.04070706,0.09047266,-1722.13117972,17.88,23.6,27.65,44.34
XENSUH,WB97M-D3BJ,def2-TZVP,988.0,-2.0,1.0,390.85,2725.9,8.0,141512.0,-1609.16486528,-1608.77297248,0.07792926,-1608.85090174,14.9,18.34,21.92,27.88
XIYTEG,WB97M-D3BJ,def2-TZVP,1098.0,-2.0,1.0,408.48,4496.1,8.0,193969.0,-1342.98121294,-1342.46948574,0.08286893,-1342.55235467,22.28,31.68,38.96,46.36
XOPMIB_3,WB97M-D3BJ,def2-TZVP,822.0,-2.0,1.0,361.22,2801.1,8.0,73041.0,-1606.63397676,-1606.35256403,0.06978766,-1606.4223517,16.13,26.54,30.17,44.08
YEPNUC_1_protonated,WB97M-D3BJ,def2-TZVP,1222.0,-2.0,1.0,496.41,2634.5,8.0,299343.0,-1870.85544739,-1870.32327957,0.0907229,-1870.41400246,26.34,30.07,45.43,48.41
YOXFOG_1,WB97M-D3BJ,def2-TZVP,833.0,-2.0,1.0,340.28,2794.5,8.0,103142.0,-1297.90555811,-1297.5356206,0.06971198,-1297.60533258,32.53,40.73,66.46,77.92
YUJYEI_3,WB97M-D3BJ,def2-TZVP,1063.0,-2.0,1.0,451.31,1567.0,16.0,177730.0,-1761.89179527,-1761.51341508,0.08459995,-1761.59801503,21.49,25.11,27.42,31.94
ZAYTOI_1,WB97M-D3BJ,def2-TZVP,692.0,-2.0,1.0,280.25,2369.7,8.0,112940.0,-1022.46458864,-1022.20342211,0.05827882,-1022.26170093,39.67,52.27,68.94,111.14
