Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
MDXSPP_4,M062X,def2-SVP,341.0,0.0,1.0,257.21,688.5,8.0,10628.0,-867.29519199,-866.99191945,0.06001987,-867.05193933,36.16,53.08,84.43,89.74
MICGIP_1,M062X,def2-SVP,678.0,0.0,1.0,524.44,3342.8,8.0,79595.0,-1875.99441715,-1875.3827412,0.10261046,-1875.48535165,20.49,25.6,31.02,32.8
MMALTS_2_protonated,M062X,def2-SVP,460.0,0.0,1.0,362.25,1437.9,8.0,18930.0,-1342.7736547,-1342.35071863,0.07371506,-1342.42443369,49.1,51.86,61.44,80.92
PXCHTR10_1,M062X,def2-SVP,460.0,0.0,1.0,346.29,1457.8,8.0,18746.0,-1194.4722818,-1194.04715253,0.0710824,-1194.11823493,47.03,49.68,73.57,82.42
QASZOA_1,M062X,def2-SVP,431.0,0.0,1.0,549.29,961.7,8.0,19288.0,-3563.43915135,-3563.29600816,0.08544594,-3563.3814541,27.99,36.17,36.95,43.6
QILCOF_4,M062X,def2-SVP,544.0,0.0,1.0,418.36,873.3,8.0,60077.0,-1419.09009276,-1418.633747,0.08114289,-1418.71488989,-18.23,23.56,30.84,49.69
RALYIN_1,M062X,def2-SVP,492.0,0.0,1.0,384.3,1643.2,8.0,19941.0,-1344.57994643,-1344.16238538,0.07214498,-1344.23453036,25.78,42.85,46.25,56.59
ROFGOJ_5,M062X,def2-SVP,728.0,0.0,1.0,584.44,3312.5,8.0,49464.0,-2104.76187161,-2104.16123393,0.09900057,-2104.2602345,17.12,25.11,32.38,43.57
SOKTIW_3,M062X,def2-SVP,641.0,0.0,1.0,477.54,3354.2,8.0,38156.0,-1883.37452243,-1882.75327883,0.08683552,-1882.84011434,22.12,24.8,37.53,50.64
TEGYEJ_1,M062X,def2-SVP,486.0,0.0,1.0,392.3,1566.5,8.0,28487.0,-1372.63560617,-1372.25763773,0.0746689,-1372.33230663,23.72,36.27,52.52,69.26
TIBWOQ_1_protonated,M062X,def2-SVP,330.0,0.0,1.0,274.17,607.4,8.0,10684.0,-989.3800764,-989.12805806,0.05870428,-989.18676234,50.45,65.17,89.07,131.59
UFATED_1,M062X,def2-SVP,779.0,0.0,1.0,614.33,822.2,8.0,140668.0,-2087.53177741,-2086.91368219,0.10494658,-2087.01862878,2.01,9.78,17.49,22.49
UGIBES_1,M062X,def2-SVP,698.0,0.0,1.0,508.52,3322.7,8.0,59029.0,-1696.72712708,-1696.06614097,0.0882504,-1696.15439137,34.8,39.1,53.37,62.79
URPOAD10_5,M062X,def2-SVP,674.0,0.0,1.0,579.35,3350.3,8.0,78749.0,-2370.63047617,-2370.11357579,0.0942049,-2370.20778069,20.19,23.56,33.54,36.74
UXADUV_4,M062X,def2-SVP,364.0,0.0,1.0,294.18,788.1,8.0,20087.0,-1074.4475644,-1074.14224932,0.05592042,-1074.19816974,79.8,111.33,132.99,140.97
XALKUQ_3,M062X,def2-SVP,612.0,0.0,1.0,478.37,2980.4,8.0,30126.0,-1763.33987964,-1762.77298058,0.08862536,-1762.86160593,18.31,30.75,34.31,55.07
XOPMIB_3_protonated,M062X,def2-SVP,414.0,0.0,1.0,369.16,1041.5,8.0,25060.0,-1612.09451454,-1611.79290065,0.07065581,-1611.86355646,29.63,40.92,62.27,72.19
XUDFUX_2,M062X,def2-SVP,416.0,0.0,1.0,346.28,1110.7,8.0,27118.0,-1550.08596259,-1549.73057412,0.06728274,-1549.79785686,46.33,52.57,63.92,69.96
ZIFBOI_1_protonated,M062X,def2-SVP,524.0,0.0,1.0,416.42,1888.4,8.0,27949.0,-1665.55926856,-1665.13318613,0.08080733,-1665.21399346,16.03,27.72,29.64,43.14
