Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,B3LYP,def2-TZVP,855.0,0.0,3.0,0.066537,382.32,3526.6,16.0,236462.0,-2965.89558834,-2965.37388381,0.09126103,-2965.46514484,28.1,35.72,51.78,62.92,,-4.24480175027112
CIDVOA01-S5,B3LYP,def2-TZVP,823.0,0.0,3.0,0.44829,368.27,3739.9,16.0,363262.0,-2222.6101203,-2222.29765734,0.07878105,-2222.37643839,20.21,28.96,41.52,47.67,,-5.544266719081473
DUYZII-S5,B3LYP,def2-TZVP,1275.0,0.0,3.0,1.006782,530.99,3382.6,16.0,716873.0,-3287.2853073,-3286.60129204,0.11880328,-3286.72009532,23.88,29.8,35.72,36.32,,-5.602308262870943
GENZII-S3,B3LYP,def2-TZVP,1095.0,0.0,3.0,0.824591,489.32,3513.9,16.0,274744.0,-3142.27788519,-3141.88579121,0.08202414,-3141.96781535,23.82,35.77,38.77,52.08,,-4.924019954010691
HIZNEJ-S3,B3LYP,def2-TZVP,1189.0,0.0,3.0,0.035384,434.65,3370.2,16.0,737666.0,-2138.74845508,-2138.04108666,0.09786254,-2138.1389492,21.59,29.79,35.07,57.47,,-4.789868268402088
HUYWOO-S5,B3LYP,def2-TZVP,969.0,0.0,3.0,1.803745,408.62,3476.6,16.0,243546.0,-2545.06136479,-2544.60704417,0.08819821,-2544.69524239,24.51,28.91,35.65,36.05,,-5.412546534462829
JARJOC-S5,,,,,,,,,,,,,,,,,,,Zero distance between atoms,
KAPPEW-S5,B3LYP,def2-TZVP,551.0,0.0,3.0,1.008979,320.44,1943.9,16.0,48051.0,-3122.86443955,-3122.69659522,0.07329561,-3122.76989083,6.68,23.81,29.85,29.97,,-5.525414614711549
LESMAX-S3,B3LYP,def2-TZVP,501.0,0.0,3.0,0.03457,210.23,1830.6,16.0,45249.0,-1509.97698139,-1509.74162762,0.05285594,-1509.79448356,30.71,74.58,88.26,130.07,,-5.098729712849925
OKIJUQ-S5,B3LYP,def2-TZVP,869.0,0.0,3.0,0.988501,334.47,3515.4,16.0,419625.0,-1893.39386331,-1892.87796569,0.08504851,-1892.9630142,25.34,37.52,51.08,51.32,,-6.264947071718381
OWUTIL02-S3,B3LYP,def2-TZVP,1162.0,0.0,3.0,0.990759,484.93,3549.0,16.0,447807.0,-2770.20596174,-2769.72530332,0.09062091,-2769.81592423,18.04,26.98,38.2,41.3,,-5.151319659314507
PIXXEE-S3,B3LYP,def2-TZVP,693.0,0.0,3.0,0.040937,285.3,3488.6,16.0,75450.0,-1755.80321709,-1755.5162124,0.05717678,-1755.57338917,21.94,41.34,111.47,157.97,,-4.960973234823794
SEBQIB-S5,B3LYP,def2-TZVP,,,,,877.23,,1.0,,,,,,,,,,,
SOFXAM-S5,B3LYP,def2-TZVP,835.0,0.0,3.0,1.006531,384.47,3739.9,16.0,206949.0,-2712.29375804,-2711.97327624,0.07904928,-2712.05232552,12.37,17.28,18.07,24.21,,-5.461828645450386
SOFXIU-S5,B3LYP,def2-TZVP,1229.0,2.0,3.0,0.008749,484.58,3539.4,16.0,919993.0,-2415.55472949,-2414.97177569,0.09043944,-2415.06221513,19.97,22.88,23.73,32.9,,-5.223886289122663
UDURUJ-S5,B3LYP,def2-TZVP,1123.0,0.0,3.0,1.005146,459.97,3526.9,16.0,398915.0,-2677.89160243,-2677.32402154,0.08987022,-2677.41389176,21.83,31.78,43.63,48.58,,-4.5489349552552145
VAZWAU-S5,B3LYP,def2-TZVP,1201.0,0.0,3.0,0.057362,718.26,3477.6,16.0,588419.0,-3796.05348604,-3795.35817208,0.11440315,-3795.47257523,20.13,36.6,42.26,50.88,,-5.081378188925846
YALPEG-S3,B3LYP,def2-TZVP,1289.0,0.0,3.0,0.065935,478.66,3458.4,16.0,773850.0,-2288.73449567,-2288.04791899,0.10323555,-2288.15115454,17.54,21.13,35.61,40.23,,-4.635047289748973
