Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
CAMVER10-S3,M06L,def2-TZVP,855.0,0.0,3.0,0.097982,382.32,3621.2,16.0,97538.0,-2966.46405974,-2965.93880144,0.09013128,-2966.02893272,26.57,42.19,46.98,70.04,-5.644356157329059
CIDVOA01-S5,M06L,def2-TZVP,823.0,0.0,3.0,0.546211,368.27,2854.6,16.0,193191.0,-2223.10396723,-2222.79087997,0.07853142,-2222.86941139,20.68,28.81,32.72,43.02,-5.28135678875277
DUYZII-S5,M06L,def2-TZVP,1275.0,0.0,3.0,0.989657,530.99,7189.9,16.0,595832.0,-3288.07175941,-3287.35132981,0.09257984,-3287.44390965,77.72,94.02,101.43,107.71,-5.183320691523261
GENZII-S3,M06L,def2-TZVP,1095.0,0.0,3.0,0.716208,489.32,3613.7,16.0,246456.0,-3142.99917632,-3142.60556133,0.08106832,-3142.68662965,25.93,34.46,42.64,63.65,-5.2538673001547505
HIZNEJ-S3,M06L,def2-TZVP,1189.0,0.0,3.0,0.058723,434.65,3628.0,16.0,358546.0,-2139.45831333,-2138.74429996,0.09479233,-2138.83909229,29.72,48.91,57.08,63.57,-4.62092452967096
HUYWOO-S5,M06L,def2-TZVP,969.0,0.0,3.0,1.526955,408.62,3620.8,16.0,137689.0,-2545.65078453,-2545.1939455,0.08788786,-2545.28183336,23.35,31.56,35.83,41.49,-4.581998476036202
JARJOC-S5,M06L,def2-TZVP,2939.0,0.0,3.0,0.442301,1079.64,7065.4,16.0,1606219.0,-4644.32037813,-4642.63212009,0.14334062,-4642.77546071,65.92,71.75,78.41,89.26,-4.533043572169558
KAPPEW-S5,M06L,def2-TZVP,551.0,0.0,3.0,1.009847,320.44,836.7,16.0,29909.0,-3123.27562906,-3123.10711843,0.0730183,-3123.18013673,9.67,22.74,24.07,26.68,-5.394963902668722
LESMAX-S3,M06L,def2-TZVP,501.0,0.0,3.0,0.058367,210.23,890.2,16.0,36243.0,-1510.29562534,-1510.05966065,0.05326634,-1510.11292699,16.68,33.69,69.47,102.87,-4.690648253966747
OKIJUQ-S5,M06L,def2-TZVP,869.0,0.0,3.0,0.435356,334.47,4453.6,16.0,222500.0,-1893.82509768,-1893.31738889,0.08832358,-1893.40571247,19.66,25.97,40.4,51.44,-4.994630404607148
OWUTIL02-S3,M06L,def2-TZVP,1162.0,0.0,3.0,0.920919,484.93,3619.6,16.0,195470.0,-2770.93553674,-2770.45187602,0.09038464,-2770.54226066,15.13,24.55,38.56,43.4,-5.753766111801404
PIXXEE-S3,M06L,def2-TZVP,693.0,0.0,3.0,0.077199,285.3,1897.3,16.0,60619.0,-1756.2358957,-1755.94811956,0.05672128,-1756.00484084,19.71,37.5,119.13,167.86,-6.138244180297569
SEBQIB-S5,M06L,def2-TZVP,2423.0,0.0,3.0,0.352759,877.23,7259.6,16.0,1611369.0,-3486.77616002,-3485.49294372,0.14950513,-3485.64244885,23.78,34.14,35.21,37.41,-6.420109790932554
SOFXAM-S5,M06L,def2-TZVP,835.0,0.0,3.0,1.001316,384.47,2924.0,16.0,140644.0,-2712.81889041,-2712.49673845,0.0782076,-2712.57494605,14.54,16.75,19.75,23.94,-5.420370706820187
SOFXIU-S5,M06L,def2-TZVP,1229.0,2.0,3.0,0.036012,484.58,9967.2,32.0,314468.0,-2416.24164998,-2415.65873101,0.08926812,-2415.74799912,-369.35,7.82,18.14,23.26,-5.697782262943579
UDURUJ-S5,M06L,def2-TZVP,1123.0,0.0,3.0,1.009614,459.97,3599.6,16.0,278221.0,-2678.57726081,-2678.00667184,0.08868869,-2678.09536053,20.71,29.8,44.31,52.14,-5.119177620357826
VAZWAU-S5,M06L,def2-TZVP,1201.0,0.0,3.0,0.108948,718.26,3627.7,16.0,225038.0,-3797.10873465,-3796.40856462,0.11104142,-3796.51960605,23.32,27.37,49.75,50.49,-5.828276727877288
YALPEG-S3,M06L,def2-TZVP,1289.0,0.0,3.0,0.098709,478.66,3615.9,16.0,499316.0,-2289.52721387,-2288.8361635,0.09934493,-2288.93550843,26.4,35.59,49.95,58.83,-5.372536758797356
