Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,M06L,def2-TZVP,1825.0,0.0,6.0,0.012205,730.56,7861.5,16.0,305062.0,-3457.20148341,-3456.54527981,0.10993655,-3456.65521636,11.16,27.56,28.4,35.25
CELVEU-S6,M06L,def2-TZVP,872.0,0.0,6.0,0.015429,423.75,3202.2,16.0,86961.0,-3399.86369131,-3399.54198772,0.0793194,-3399.62130712,13.32,25.78,31.04,34.79
CEQPOF-S2,M06L,def2-TZVP,871.0,0.0,6.0,0.034976,449.16,3617.6,16.0,187897.0,-2339.59162612,-2339.16240581,0.08321337,-2339.24561918,10.62,22.93,41.39,55.15
ELIRUN-S6,M06L,def2-TZVP,934.0,0.0,6.0,0.014775,454.53,3619.7,16.0,93606.0,-3600.20888655,-3599.87531743,0.07855864,-3599.95387607,15.24,23.34,43.29,61.03
EXUBIK-S6,M06L,def2-TZVP,1147.0,1.0,6.0,0.031569,516.25,5806.5,16.0,195905.0,-2930.41230653,-2930.11020837,0.08798554,-2930.19819391,14.08,19.68,26.4,35.26
FEACAC03-S6,M06L,def2-TZVP,822.0,0.0,6.0,0.009273,353.17,3159.9,16.0,86518.0,-2299.72437429,-2299.35723657,0.08469961,-2299.44193617,7.09,20.93,33.02,39.03
FONNAZ-S6,M06L,def2-TZVP,1248.0,0.0,6.0,0.014454,525.43,3629.2,16.0,334973.0,-3114.28992765,-3113.74804531,0.09560944,-3113.84365474,13.04,15.87,22.06,25.78
GEDTUE-S4,M06L,def2-TZVP,907.0,0.0,6.0,0.017083,535.41,4351.6,16.0,120522.0,-3814.56379665,-3814.09875395,0.07738225,-3814.1761362,63.11,68.11,88.56,96.1
KANYUT-S6,M06L,def2-TZVP,1738.0,0.0,6.0,0.012277,704.0,7811.4,16.0,429620.0,-3637.04064122,-3636.40174943,0.10502819,-3636.50677762,9.56,28.17,33.93,39.59
KIKBOV-S6,M06L,def2-TZVP,1538.0,0.0,6.0,0.01138,710.7,17351.8,32.0,433159.0,-4787.27004779,-4786.64524931,0.12509466,-4786.77034397,6.52,16.6,18.74,23.49
LUJNOV-S6,M06L,def2-TZVP,731.0,0.0,6.0,0.018817,381.05,1762.6,16.0,39679.0,-3318.5101927,-3318.29954182,0.06729031,-3318.36683213,19.11,44.43,57.28,83.48
MOPDUQ-S6,M06L,def2-TZVP,1305.0,0.0,6.0,0.012656,542.34,3625.5,16.0,190557.0,-2923.17803481,-2922.6725154,0.09369155,-2922.76620695,14.31,14.81,22.34,32.58
OETPFE-S4,M06L,def2-TZVP,1710.0,0.0,6.0,0.010649,688.05,17964.8,32.0,417194.0,-3642.53062367,-3641.73583356,0.12258151,-3641.85841507,11.2,21.86,29.29,32.29
OQODEE-S6,M06L,def2-TZVP,748.0,0.0,6.0,0.011443,382.48,2234.6,16.0,51518.0,-3367.67013217,-3367.37257936,0.07250022,-3367.44507958,41.08,45.44,64.13,74.43
POGXEQ-S6,M06L,def2-TZVP,947.0,1.0,6.0,0.008714,448.32,3605.3,16.0,83314.0,-3206.7237492,-3206.40582086,0.07873727,-3206.48455814,23.48,25.08,27.38,57.47
QOXVUW-S6,M06L,def2-TZVP,2116.0,0.0,6.0,0.015503,955.35,17929.3,32.0,5176619.0,-5302.93274183,-5302.08272164,0.15791651,-5302.24063815,9.97,14.63,19.28,25.62
SAVHIG-S6,M06L,def2-TZVP,1526.0,0.0,6.0,0.014277,686.74,7855.6,16.0,609871.0,-4717.4499758,-4716.8529679,0.11370519,-4716.96667308,15.51,17.41,18.33,21.92
SELQIJ-S4,M06L,def2-TZVP,1576.0,0.0,6.0,0.017057,670.08,7808.6,16.0,338968.0,-4096.4268431,-4095.80801139,0.10358823,-4095.91159961,15.88,18.37,19.35,35.96
SIDVIL-S6,M06L,def2-TZVP,558.0,0.0,6.0,0.008282,285.96,915.8,16.0,49105.0,-2228.22615688,-2228.05179176,0.06919273,-2228.12098449,13.09,36.11,44.68,54.17
TISDUU-S4,M06L,def2-TZVP,1815.0,0.0,6.0,0.012428,870.55,7827.6,16.0,437664.0,-6552.27072994,-6551.55593426,0.1410837,-6551.69701796,12.18,16.06,17.99,19.83
TOQZEH01-S2,M06L,def2-TZVP,1566.0,0.0,6.0,0.013497,641.41,3608.3,16.0,390515.0,-3214.55864884,-3214.02945623,0.09626202,-3214.12571824,6.58,16.18,26.58,28.21
UHEZOX-S6,M06L,def2-TZVP,952.0,0.0,6.0,0.012342,414.69,3609.2,16.0,95925.0,-2775.67835026,-2775.27790168,0.07487033,-2775.35277201,22.23,37.64,56.71,65.07
UHIBAP-S2,M06L,def2-TZVP,977.0,0.0,6.0,0.012635,405.26,3609.8,16.0,106458.0,-2408.27977744,-2407.87209321,0.0769828,-2407.94907602,20.28,37.58,49.24,60.2
UJAZOX-S6,M06L,def2-TZVP,1076.0,0.0,6.0,0.01237,552.46,3614.7,16.0,155013.0,-4614.10669492,-4613.73978509,0.08673901,-4613.8265241,8.02,20.88,27.26,42.02
UWIQIB-S6,M06L,def2-TZVP,1020.0,0.0,6.0,0.012763,449.69,3599.6,16.0,103131.0,-2947.2263358,-2946.80642893,0.08532058,-2946.89174951,25.7,27.78,39.47,45.98
VEFGIW-S6,M06L,def2-TZVP,1162.0,-1.0,6.0,0.011826,533.65,3625.2,16.0,190916.0,-3829.41333861,-3828.95900222,0.09285545,-3829.05185767,20.47,21.4,32.83,45.36
VOFZEV-S6,M06L,def2-TZVP,549.0,1.0,6.0,0.010666,310.89,1109.9,16.0,25958.0,-3256.96622721,-3256.70180509,0.0733798,-3256.77518489,23.86,28.45,34.04,45.4
WUQBAN-S6,M06L,def2-TZVP,885.0,0.0,6.0,0.013529,415.07,3283.6,16.0,87052.0,-3118.30803925,-3117.99861454,0.07430306,-3118.07291759,15.59,31.33,37.59,43.17
