Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,PBE0,def2-TZVP,1825.0,0.0,6.0,0.011667,730.56,3063.6,16.0,1111141.0,-3454.72810007,-3454.07009484,0.11123491,-3454.18132975,12.27,23.87,28.13,30.34
CELVEU-S6,PBE0,def2-TZVP,872.0,0.0,6.0,0.01619,423.75,3711.5,16.0,126077.0,-3398.34579813,-3398.02329273,0.08018759,-3398.10348032,12.56,12.72,24.88,29.93
CEQPOF-S2,PBE0,def2-TZVP,871.0,0.0,6.0,0.060363,449.16,3626.8,16.0,335886.0,-2338.38004514,-2337.95147094,0.08341551,-2338.03488644,18.4,25.1,33.15,39.26
ELIRUN-S6,PBE0,def2-TZVP,934.0,0.0,6.0,0.014056,454.53,3601.3,16.0,200692.0,-3598.58644127,-3598.25198281,0.07812612,-3598.33010893,16.29,28.86,45.25,61.74
EXUBIK-S6,PBE0,def2-TZVP,1147.0,1.0,6.0,0.080749,516.25,6483.4,16.0,346661.0,-2928.45931048,-2928.15493744,0.08559174,-2928.24052918,22.2,27.65,34.97,42.45
FEACAC03-S6,PBE0,def2-TZVP,822.0,0.0,6.0,0.007063,353.17,3645.5,16.0,150058.0,-2298.4603604,-2298.09395189,0.08420665,-2298.17815854,19.47,19.85,27.55,41.49
FONNAZ-S6,PBE0,def2-TZVP,1248.0,0.0,6.0,0.013185,525.43,3428.3,16.0,601242.0,-3112.44888451,-3111.90596815,0.09584889,-3112.00181704,13.64,16.38,22.13,24.83
GEDTUE-S4,PBE0,def2-TZVP,907.0,0.0,6.0,0.018754,535.41,3651.1,16.0,191338.0,-3812.95802949,-3812.51187729,0.09244076,-3812.60431805,11.41,19.77,21.33,23.85
KANYUT-S6,PBE0,def2-TZVP,1738.0,0.0,6.0,0.011938,704.0,3184.1,16.0,930305.0,-3634.68173965,-3634.04164057,0.10623072,-3634.14787129,12.29,22.21,28.49,30.45
KIKBOV-S6,PBE0,def2-TZVP,1538.0,0.0,6.0,0.012153,710.7,3495.1,16.0,718934.0,-4784.6892083,-4784.06259536,0.12589183,-4784.18848719,12.2,13.19,20.14,20.94
LUJNOV-S6,PBE0,def2-TZVP,731.0,0.0,6.0,0.024304,381.05,3438.9,16.0,73864.0,-3317.12207506,-3316.91012479,0.06704214,-3316.97716693,18.27,44.41,60.28,85.55
MOPDUQ-S6,PBE0,def2-TZVP,1305.0,0.0,6.0,0.010756,542.34,3485.3,16.0,537148.0,-2921.29375008,-2920.78666701,0.09345669,-2920.8801237,12.9,13.24,21.22,37.11
OETPFE-S4,PBE0,def2-TZVP,1710.0,0.0,6.0,0.009448,688.05,17047.3,32.0,1325047.0,-3640.17766491,-3639.38427741,0.1231785,-3639.5074559,11.47,21.44,27.69,32.18
OQODEE-S6,PBE0,def2-TZVP,748.0,0.0,6.0,0.011565,382.48,3676.1,16.0,78506.0,-3366.27329984,-3365.9743403,0.07256189,-3366.04690219,39.77,46.82,59.9,65.67
POGXEQ-S6,PBE0,def2-TZVP,947.0,1.0,6.0,0.007125,448.32,3572.9,16.0,165719.0,-3205.12140676,-3204.80193107,0.07808986,-3204.88002094,26.37,28.67,32.4,64.49
QOXVUW-S6,PBE0,def2-TZVP,2116.0,0.0,6.0,0.017204,955.35,2931.3,16.0,1636350.0,-5299.48335662,-5298.63186686,0.1601185,-5298.79198536,11.55,16.48,18.75,24.09
SAVHIG-S6,PBE0,def2-TZVP,1526.0,0.0,6.0,0.015238,686.74,3421.9,16.0,863678.0,-4715.07334808,-4714.47582536,0.11344948,-4714.58927484,15.69,17.09,17.6,21.58
SELQIJ-S4,PBE0,def2-TZVP,1576.0,0.0,6.0,0.019052,670.08,3318.7,16.0,826124.0,-4094.13771513,-4093.51840108,0.10415726,-4093.62255833,11.44,16.75,18.01,32.35
SIDVIL-S6,PBE0,def2-TZVP,558.0,0.0,6.0,0.00808,285.96,2042.2,16.0,36032.0,-2227.12899007,-2226.95248322,0.06742416,-2227.01990738,44.1,51.49,59.26,74.56
TISDUU-S4,PBE0,def2-TZVP,1815.0,0.0,6.0,0.063122,870.55,6403.5,16.0,1223575.0,-6549.09507804,-6548.38061161,0.14264267,-6548.52325428,8.66,13.81,18.01,19.96
TOQZEH01-S2,PBE0,def2-TZVP,1566.0,0.0,6.0,0.007894,641.41,3247.9,16.0,809926.0,-3212.35824432,-3211.82796297,0.09696096,-3211.92492392,10.28,10.39,15.7,28.63
UHEZOX-S6,PBE0,def2-TZVP,952.0,0.0,6.0,0.011192,414.69,3487.1,16.0,235636.0,-2774.23940456,-2773.83799103,0.0744923,-2773.91248333,23.04,43.11,58.34,66.99
UHIBAP-S2,PBE0,def2-TZVP,977.0,0.0,6.0,0.011075,405.26,3654.0,16.0,299285.0,-2406.89023267,-2406.48136345,0.07637647,-2406.55773992,21.51,40.57,53.66,63.41
