Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,M06L,def2-TZVP,1825.0,0.0,4.0,0.053051,730.56,6843.4,16.0,390448.0,-3457.18225576,-3456.52521847,0.10940001,-3456.63461848,8.95,28.4,28.89,36.0
CELVEU-S6,M06L,def2-TZVP,872.0,0.0,4.0,0.073299,423.75,3210.3,16.0,66704.0,-3399.84586196,-3399.52396616,0.07779527,-3399.60176142,16.77,26.28,33.1,41.69
CEQPOF-S2,M06L,def2-TZVP,871.0,0.0,4.0,0.216554,449.16,3621.4,16.0,133948.0,-2339.60340778,-2339.17384201,0.08031491,-2339.25415692,23.84,42.06,50.26,69.68
ELIRUN-S6,M06L,def2-TZVP,934.0,0.0,4.0,0.073894,454.53,3621.2,16.0,103094.0,-3600.18276757,-3599.84885114,0.07712391,-3599.92597505,17.92,38.83,46.39,62.36
EXUBIK-S6,M06L,def2-TZVP,1147.0,1.0,4.0,0.045625,516.25,5868.2,16.0,236104.0,-2930.38144092,-2930.07989242,0.08505112,-2930.16494354,14.42,22.43,25.45,40.48
FEACAC03-S6,M06L,def2-TZVP,822.0,0.0,4.0,0.092567,353.17,3175.6,16.0,130815.0,-2299.69146204,-2299.32409536,0.08251455,-2299.40660991,17.67,30.71,38.64,42.29
FONNAZ-S6,M06L,def2-TZVP,1248.0,0.0,4.0,0.074521,525.43,3631.6,16.0,351749.0,-3114.26225379,-3113.72007684,0.0939538,-3113.81403064,12.37,17.81,27.0,31.26
GEDTUE-S4,M06L,def2-TZVP,907.0,0.0,4.0,0.13173,535.41,3609.9,16.0,77789.0,-3814.56066192,-3814.11325399,0.09110823,-3814.20436222,13.82,17.28,20.55,25.09
KANYUT-S6,M06L,def2-TZVP,1738.0,0.0,4.0,0.054119,704.0,18047.9,16.0,1554924.0,-3637.02462835,-3636.38478627,0.10443372,-3636.48921999,6.05,27.79,28.96,36.8
KIKBOV-S6,M06L,def2-TZVP,1538.0,0.0,4.0,0.097167,710.7,6865.1,16.0,479123.0,-4787.20791826,-4786.58303354,0.12243318,-4786.70546671,17.25,22.16,23.54,26.9
LUJNOV-S6,M06L,def2-TZVP,731.0,0.0,4.0,1.529858,381.05,1766.9,16.0,38584.0,-3318.49112027,-3318.26735927,0.05814735,-3318.32550662,114.06,114.77,115.4,131.28
MOPDUQ-S6,M06L,def2-TZVP,1305.0,0.0,4.0,0.094546,542.34,3630.6,16.0,452548.0,-2923.14465847,-2922.63913486,0.09189149,-2922.73102636,15.42,29.51,31.58,34.73
OETPFE-S4,M06L,def2-TZVP,1710.0,0.0,4.0,0.055945,688.05,17966.5,32.0,1838568.0,-3642.52231005,-3641.72647719,0.12204314,-3641.84852032,3.81,19.06,23.33,38.19
OQODEE-S6,M06L,def2-TZVP,748.0,0.0,4.0,0.164098,382.48,2241.8,16.0,61188.0,-3367.6374108,-3367.33993,0.07197474,-3367.41190474,37.22,54.37,65.6,72.46
POGXEQ-S6,M06L,def2-TZVP,947.0,1.0,4.0,0.051801,448.32,3606.5,16.0,97217.0,-3206.68408604,-3206.36610661,0.07737239,-3206.443479,24.87,28.55,35.52,63.42
QOXVUW-S6,M06L,def2-TZVP,2116.0,0.0,4.0,0.06682,955.35,17929.0,32.0,1063083.0,-5302.90616769,-5302.05568618,0.15664907,-5302.21233525,12.9,16.42,24.99,28.68
SAVHIG-S6,M06L,def2-TZVP,1526.0,0.0,4.0,0.138851,686.74,6816.2,16.0,563462.0,-4717.43547095,-4716.83782137,0.11061349,-4716.94843486,16.0,20.37,20.88,30.85
SELQIJ-S4,M06L,def2-TZVP,1576.0,0.0,4.0,0.171594,670.08,6857.0,16.0,214318.0,-4096.41824663,-4095.79959588,0.1025458,-4095.90214168,11.71,16.74,18.62,37.19
SIDVIL-S6,M06L,def2-TZVP,558.0,0.0,4.0,0.105181,285.96,908.3,28.0,55442.0,-2228.19755456,-2228.0226424,0.06473765,-2228.08738005,43.45,51.91,65.3,75.53
TISDUU-S4,M06L,def2-TZVP,1815.0,0.0,4.0,0.050329,870.55,18011.4,16.0,2260972.0,-6552.26378571,-6551.54781045,0.13944581,-6551.68725625,12.93,16.31,19.21,20.92
