Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,TPSSh,def2-TZVP,1825.0,0.0,6.0,0.009884,730.56,3062.0,16.0,1428641.0,-3457.65311216,-3457.00208559,0.11214292,-3457.11422851,11.17,25.3,27.28,28.75
CELVEU-S6,TPSSh,def2-TZVP,872.0,0.0,6.0,0.013111,423.75,3711.3,16.0,159473.0,-3400.1434018,-3399.82376706,0.08072767,-3399.90449473,11.2,19.19,25.07,29.9
CEQPOF-S2,TPSSh,def2-TZVP,871.0,0.0,6.0,0.043384,449.16,3626.4,16.0,466912.0,-2339.5384536,-2339.11246876,0.08400409,-2339.19647285,18.44,23.96,32.24,39.41
ELIRUN-S6,TPSSh,def2-TZVP,934.0,0.0,6.0,0.011895,454.53,3600.8,16.0,230485.0,-3600.49047278,-3600.15921389,0.07905072,-3600.23826461,15.81,27.17,43.59,59.97
EXUBIK-S6,TPSSh,def2-TZVP,1147.0,1.0,6.0,0.04612,516.25,11941.6,16.0,537943.0,-2930.71107123,-2930.41035089,0.08813371,-2930.4984846,15.73,21.54,29.88,37.72
FEACAC03-S6,TPSSh,def2-TZVP,822.0,0.0,6.0,0.006474,353.17,3645.0,16.0,165112.0,-2299.92921998,-2299.56550532,0.08505825,-2299.65056357,20.06,21.1,27.52,39.24
FONNAZ-S6,TPSSh,def2-TZVP,1248.0,0.0,6.0,0.012502,525.43,3426.6,16.0,645100.0,-3114.6081407,-3114.07014147,0.09726149,-3114.16740296,12.74,15.8,20.31,22.31
GEDTUE-S4,TPSSh,def2-TZVP,907.0,0.0,6.0,0.014092,535.41,3650.7,16.0,236352.0,-3814.57581298,-3814.13245341,0.09348918,-3814.22594259,10.9,19.3,21.07,22.98
KANYUT-S6,TPSSh,def2-TZVP,1738.0,0.0,6.0,0.009495,704.0,3182.9,16.0,976180.0,-3637.48199566,-3636.84809996,0.10706464,-3636.95516461,10.73,23.99,27.53,33.34
KIKBOV-S6,TPSSh,def2-TZVP,1538.0,0.0,6.0,0.009046,710.7,3493.9,16.0,778941.0,-4787.69643701,-4787.07509395,0.12747297,-4787.20256692,11.13,13.22,19.2,20.73
LUJNOV-S6,TPSSh,def2-TZVP,731.0,0.0,6.0,0.020501,381.05,3439.0,16.0,93743.0,-3318.74796743,-3318.5384482,0.06770758,-3318.60615578,14.93,43.82,57.8,81.44
MOPDUQ-S6,TPSSh,def2-TZVP,1305.0,0.0,6.0,0.010144,542.34,3484.3,16.0,544750.0,-2923.51200697,-2923.01007166,0.09459237,-2923.10466403,12.56,12.94,20.28,35.8
OETPFE-S4,TPSSh,def2-TZVP,1710.0,0.0,6.0,0.008039,688.05,17044.9,32.0,1308202.0,-3642.93615861,-3642.14920257,0.12507801,-3642.27428058,9.57,19.91,26.03,30.14
OQODEE-S6,TPSSh,def2-TZVP,748.0,0.0,6.0,0.009374,382.48,3676.3,16.0,102712.0,-3367.90187564,-3367.60553464,0.0733657,-3367.67890034,39.4,44.64,60.36,65.42
POGXEQ-S6,TPSSh,def2-TZVP,947.0,1.0,6.0,0.006113,448.32,3572.4,16.0,193975.0,-3207.00039391,-3206.6844265,0.07890223,-3206.76332873,25.99,28.17,31.44,62.0
QOXVUW-S6,TPSSh,def2-TZVP,2116.0,0.0,6.0,0.014122,955.35,2926.1,16.0,2013872.0,-5303.47916885,-5302.63572693,0.1626817,-5302.79840864,9.38,16.94,18.85,23.35
SAVHIG-S6,TPSSh,def2-TZVP,1526.0,0.0,6.0,0.011453,686.74,3419.9,16.0,818006.0,-4717.88715159,-4717.29423408,0.11482302,-4717.4090571,14.22,16.0,16.21,20.14
SELQIJ-S4,TPSSh,def2-TZVP,1576.0,0.0,6.0,0.015638,670.08,3317.4,16.0,1169172.0,-4096.84703246,-4096.23334299,0.10548249,-4096.33882548,10.47,16.3,17.3,29.99
SIDVIL-S6,TPSSh,def2-TZVP,558.0,0.0,6.0,0.006649,285.96,2048.7,16.0,83905.0,-2228.39693897,-2228.22329999,0.06824317,-2228.29154316,38.47,45.95,56.42,70.54
TISDUU-S4,TPSSh,def2-TZVP,1815.0,0.0,6.0,0.04754,870.55,6402.6,16.0,2761511.0,-6552.78748935,-6552.07897741,0.14469672,-6552.22367413,8.87,14.71,16.96,18.95
TOQZEH01-S2,TPSSh,def2-TZVP,1566.0,0.0,6.0,0.007488,641.41,3246.4,16.0,793047.0,-3214.94672739,-3214.42211599,0.09835745,-3214.52047344,8.85,9.12,13.4,27.12
UHEZOX-S6,TPSSh,def2-TZVP,952.0,0.0,6.0,0.009922,414.69,3613.7,16.0,238541.0,-2775.93545012,-2775.53772651,0.07538426,-2775.61311077,21.61,40.6,55.1,64.88
UHIBAP-S2,TPSSh,def2-TZVP,977.0,0.0,6.0,0.010087,405.26,3653.1,16.0,320211.0,-2408.53430665,-2408.12928536,0.07738154,-2408.2066669,20.11,37.94,48.52,60.5
UJAZOX-S6,TPSSh,def2-TZVP,1076.0,0.0,6.0,0.010063,552.46,3555.2,16.0,304217.0,-4614.44119721,-4614.07643563,0.08707494,-4614.16351057,13.18,21.69,28.74,46.07
UWIQIB-S6,TPSSh,def2-TZVP,1020.0,0.0,6.0,0.010552,449.69,3654.5,16.0,332760.0,-2947.50136649,-2947.08440322,0.08636463,-2947.17076785,23.05,26.28,39.47,50.37
VEFGIW-S6,TPSSh,def2-TZVP,1162.0,-1.0,6.0,0.009147,533.65,3536.5,16.0,418286.0,-3829.72875336,-3829.27763599,0.09439918,-3829.37203517,20.22,21.57,23.06,36.32
VOFZEV-S6,TPSSh,def2-TZVP,549.0,1.0,6.0,0.00841,310.89,2386.7,16.0,58966.0,-3257.15969226,-3256.89710382,0.07478745,-3256.97189127,18.01,19.3,24.41,32.22
WUQBAN-S6,TPSSh,def2-TZVP,885.0,0.0,6.0,0.010969,415.07,3712.9,16.0,146405.0,-3118.5687053,-3118.26126847,0.0749476,-3118.33621607,11.72,24.33,37.83,40.44
