Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,B3LYP,def2-TZVP,1825.0,0.0,4.0,0.042351,730.56,3062.0,16.0,1731602.0,-3456.11163125,-3455.45772836,0.11293124,-3455.5706596,9.14,9.28,14.76,16.89
CELVEU-S6,B3LYP,def2-TZVP,872.0,0.0,4.0,0.056076,423.75,3711.4,16.0,142368.0,-3399.27504996,-3398.9544154,0.07848463,-3399.03290002,16.91,26.89,31.4,37.06
CEQPOF-S2,B3LYP,def2-TZVP,871.0,0.0,4.0,0.22427,449.16,3621.0,16.0,561420.0,-2338.95459833,-2338.52720871,0.08335173,-2338.61056044,15.79,16.64,30.34,34.24
ELIRUN-S6,B3LYP,def2-TZVP,934.0,0.0,4.0,0.04151,454.53,3601.9,16.0,214032.0,-3599.5598786,-3599.22690637,0.07699335,-3599.30389972,19.44,38.36,46.29,64.83
EXUBIK-S6,B3LYP,def2-TZVP,1147.0,1.0,4.0,0.049181,516.25,6482.6,16.0,312472.0,-2929.62107314,-2929.31895423,0.0843254,-2929.40327963,25.61,28.35,33.99,45.87
FEACAC03-S6,B3LYP,def2-TZVP,822.0,0.0,4.0,0.051296,353.17,3646.7,16.0,193731.0,-2299.20238335,-2298.83745634,0.08250558,-2298.91996192,23.74,24.92,38.32,45.71
FONNAZ-S6,B3LYP,def2-TZVP,1248.0,0.0,4.0,0.046967,525.43,3429.8,16.0,610292.0,-3113.50356262,-3112.96361739,0.09536671,-3113.0589841,9.57,13.0,21.04,28.51
GEDTUE-S4,B3LYP,def2-TZVP,907.0,0.0,4.0,0.15886,535.41,3647.9,16.0,158743.0,-3813.81295922,-3813.36871985,0.09194029,-3813.46066015,13.94,15.05,24.28,29.19
KANYUT-S6,B3LYP,def2-TZVP,1738.0,0.0,4.0,0.039624,704.0,3183.4,16.0,1064272.0,-3635.99530955,-3635.35877192,0.10728798,-3635.4660599,9.09,9.75,15.12,16.74
KIKBOV-S6,B3LYP,def2-TZVP,1538.0,0.0,4.0,0.530221,710.7,3493.3,16.0,1177290.0,-4786.20576452,-4785.58369927,0.12704739,-4785.71074666,9.93,16.31,17.74,21.14
LUJNOV-S6,B3LYP,def2-TZVP,731.0,0.0,4.0,0.049041,381.05,3444.0,16.0,180910.0,-3317.96538423,-3317.75463657,0.06583409,-3317.82047066,28.32,36.38,68.11,81.83
MOPDUQ-S6,B3LYP,def2-TZVP,1305.0,0.0,4.0,0.058696,542.34,3487.9,16.0,841320.0,-2922.36521853,-2921.86167356,0.09234025,-2921.95401381,14.17,21.17,31.71,38.01
OETPFE-S4,B3LYP,def2-TZVP,1710.0,0.0,4.0,0.045629,688.05,17046.7,32.0,1534288.0,-3641.47447046,-3640.68474806,0.12269921,-3640.80744726,9.55,17.21,21.3,33.55
OQODEE-S6,B3LYP,def2-TZVP,748.0,0.0,4.0,0.107109,382.48,3674.9,16.0,123326.0,-3367.11312825,-3366.81584969,0.07288381,-3366.8887335,15.79,45.91,50.03,65.84
POGXEQ-S6,B3LYP,def2-TZVP,947.0,1.0,4.0,0.034301,448.32,3573.8,16.0,226878.0,-3206.08158674,-3205.76443019,0.07704967,-3205.84147986,27.57,32.15,38.72,65.65
QOXVUW-S6,B3LYP,def2-TZVP,2116.0,0.0,4.0,0.048203,955.35,2927.1,16.0,1838502.0,-5301.60089333,-5300.75509757,0.16003428,-5300.91513186,11.39,16.26,21.4,24.25
SAVHIG-S6,B3LYP,def2-TZVP,1526.0,0.0,4.0,0.166627,686.74,3428.9,16.0,1021152.0,-4716.46417744,-4715.86937606,0.11237496,-4715.98175102,16.27,17.76,19.27,20.92
SELQIJ-S4,B3LYP,def2-TZVP,1576.0,0.0,4.0,0.168259,670.08,3320.9,16.0,852757.0,-4095.4405998,-4094.82480016,0.1029194,-4094.92771956,14.83,17.88,24.98,35.89
SIDVIL-S6,B3LYP,def2-TZVP,558.0,0.0,4.0,0.069304,285.96,2048.3,16.0,168482.0,-2227.83393811,-2227.65948679,0.06630468,-2227.72579147,14.4,24.54,61.5,70.2
TISDUU-S4,B3LYP,def2-TZVP,1815.0,0.0,4.0,0.037264,870.55,6400.5,16.0,1183055.0,-6550.99814013,-6550.28680738,0.14277498,-6550.42958236,10.86,12.27,16.34,18.12
TOQZEH01-S2,B3LYP,def2-TZVP,1566.0,0.0,4.0,0.048817,641.41,3251.0,16.0,923160.0,-3213.6015737,-3213.07490152,0.09563468,-3213.17053621,10.97,11.13,17.41,30.57
UHEZOX-S6,B3LYP,def2-TZVP,952.0,0.0,4.0,0.060778,414.69,3487.9,16.0,296645.0,-2775.06581851,-2774.66658047,0.07368077,-2774.74026125,25.69,50.05,57.42,70.8
UHIBAP-S2,B3LYP,def2-TZVP,977.0,0.0,4.0,0.049579,405.26,3654.4,16.0,281767.0,-2407.69563068,-2407.28874919,0.0749811,-2407.36373029,24.74,46.78,61.56,70.06
UJAZOX-S6,B3LYP,def2-TZVP,1076.0,0.0,4.0,0.061176,552.46,3556.8,16.0,381111.0,-4613.3123278,-4612.94597376,0.08522953,-4613.03120329,16.21,25.23,29.83,48.01
UWIQIB-S6,B3LYP,def2-TZVP,1020.0,0.0,4.0,0.049641,449.69,3522.0,16.0,505818.0,-2946.57391235,-2946.15501055,0.0865001,-2946.24151065,8.45,22.87,36.6,44.55
VEFGIW-S6,B3LYP,def2-TZVP,1162.0,-1.0,4.0,0.10369,533.65,3534.8,16.0,790459.0,-3828.61758579,-3828.16505896,0.09318782,-3828.25824677,19.67,22.28,22.67,37.83
VOFZEV-S6,B3LYP,def2-TZVP,549.0,1.0,4.0,0.105633,310.89,2379.0,16.0,74656.0,-3256.51084067,-3256.24826203,0.0733344,-3256.32159643,23.64,25.74,32.37,52.08
