Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,PBE0,def2-TZVP,1825.0,0.0,2.0,0.528969,730.56,3067.1,16.0,1833159.0,-3454.7012422,-3454.04198455,0.10912212,-3454.15110666,12.05,23.23,27.81,28.73
CELVEU-S6,PBE0,def2-TZVP,872.0,0.0,2.0,0.637577,423.75,3712.3,16.0,175932.0,-3398.310726,-3397.98772155,0.0768243,-3398.06454585,18.43,30.11,35.39,40.14
CEQPOF-S2,PBE0,def2-TZVP,871.0,0.0,2.0,0.114494,449.16,3524.9,16.0,230471.0,-2338.39423987,-2337.96353003,0.0782476,-2338.04177763,25.85,43.53,50.11,62.97
ELIRUN-S6,PBE0,def2-TZVP,934.0,0.0,2.0,0.62532,454.53,3603.0,16.0,349643.0,-3598.54783809,-3598.21249211,0.07563948,-3598.28813158,19.96,36.93,47.96,67.35
EXUBIK-S6,PBE0,def2-TZVP,1147.0,1.0,2.0,0.024352,516.25,6484.3,16.0,290962.0,-2928.5427878,-2928.23389752,0.08201066,-2928.31590817,24.73,30.88,35.76,37.98
FEACAC03-S6,PBE0,def2-TZVP,822.0,0.0,2.0,0.063682,353.17,3649.1,16.0,239316.0,-2298.43432031,-2298.06615455,0.07903421,-2298.14518876,20.78,37.85,49.41,54.56
FONNAZ-S6,PBE0,def2-TZVP,1248.0,0.0,2.0,0.038975,525.43,3435.2,16.0,1004521.0,-3112.43850803,-3111.89357314,0.09125321,-3111.98482635,18.22,19.68,25.04,30.43
GEDTUE-S4,PBE0,def2-TZVP,907.0,0.0,2.0,0.995119,535.41,3649.3,16.0,227072.0,-3812.93092663,-3812.48452841,0.0904398,-3812.57496821,14.11,22.07,24.02,29.73
KANYUT-S6,PBE0,def2-TZVP,1738.0,0.0,2.0,0.645341,704.0,3186.0,16.0,1616651.0,-3634.65188636,-3634.01060812,0.10465578,-3634.1152639,11.09,19.57,27.94,28.84
KIKBOV-S6,PBE0,def2-TZVP,1538.0,0.0,2.0,1.513778,710.7,3495.3,16.0,1309514.0,-4784.60639531,-4783.97986133,0.12568643,-4784.10554776,7.08,11.62,16.56,21.83
LUJNOV-S6,PBE0,def2-TZVP,731.0,0.0,2.0,0.534315,381.05,3444.7,16.0,194482.0,-3317.0813405,-3316.86867683,0.06405786,-3316.93273469,32.41,46.21,77.64,82.11
MOPDUQ-S6,PBE0,def2-TZVP,1305.0,0.0,2.0,0.043225,542.34,3493.3,16.0,1042547.0,-2921.26865796,-2920.76009479,0.08859042,-2920.84868521,16.85,23.32,32.47,47.51
OETPFE-S4,PBE0,def2-TZVP,1710.0,0.0,2.0,0.718422,688.05,17051.3,32.0,2625825.0,-3640.15048052,-3639.35583421,0.12059886,-3639.47643307,18.24,19.67,24.61,38.83
OQODEE-S6,PBE0,def2-TZVP,748.0,0.0,2.0,0.101175,382.48,3677.1,16.0,212248.0,-3366.23470604,-3365.93501671,0.06950425,-3366.00452096,36.2,51.27,57.19,79.24
POGXEQ-S6,PBE0,def2-TZVP,947.0,1.0,2.0,0.039148,448.32,3576.8,16.0,335389.0,-3205.09495785,-3204.77435609,0.07384931,-3204.84820539,34.96,39.12,41.62,73.19
QOXVUW-S6,PBE0,def2-TZVP,2116.0,0.0,2.0,0.862155,955.35,2932.7,16.0,2102894.0,-5299.43868316,-5298.58656591,0.15792339,-5298.74448929,11.67,17.48,20.17,25.9
SAVHIG-S6,PBE0,def2-TZVP,1526.0,0.0,2.0,0.851693,686.74,3432.6,16.0,1185181.0,-4715.03028501,-4714.43214951,0.1107132,-4714.54286271,15.74,16.73,19.69,22.52
SELQIJ-S4,PBE0,def2-TZVP,1576.0,0.0,2.0,0.712641,670.08,3323.9,16.0,1113861.0,-4094.11299761,-4093.49314039,0.10122947,-4093.59436985,15.59,19.14,23.39,34.87
SIDVIL-S6,PBE0,def2-TZVP,558.0,0.0,2.0,0.115315,285.96,2050.1,16.0,40035.0,-2227.08974966,-2226.91159342,0.06008482,-2226.97167824,45.63,67.82,85.21,95.78
TISDUU-S4,PBE0,def2-TZVP,1815.0,0.0,2.0,0.712537,870.55,6404.4,16.0,1685918.0,-6549.11254596,-6548.39608359,0.14073306,-6548.53681665,11.35,13.78,17.0,18.95
TOQZEH01-S2,PBE0,def2-TZVP,1566.0,0.0,2.0,0.060194,641.41,3256.7,16.0,1103381.0,-3212.32971506,-3211.79794963,0.09213471,-3211.89008434,10.18,14.34,21.16,37.25
UHEZOX-S6,PBE0,def2-TZVP,952.0,0.0,2.0,0.054538,414.69,3491.9,16.0,364440.0,-2774.22606601,-2773.82283052,0.07042265,-2773.89325317,28.21,59.61,74.59,77.85
UHIBAP-S2,PBE0,def2-TZVP,977.0,0.0,2.0,0.024677,405.26,3526.4,16.0,362158.0,-2406.8936329,-2406.48261129,0.07166709,-2406.55427838,26.76,56.76,72.95,76.8
UJAZOX-S6,PBE0,def2-TZVP,1076.0,0.0,2.0,0.052875,552.46,3561.8,16.0,340830.0,-4612.09127413,-4611.72076609,0.08183091,-4611.802597,17.47,29.39,33.5,51.22
UWIQIB-S6,PBE0,def2-TZVP,1020.0,0.0,2.0,0.219194,449.69,3515.1,16.0,422300.0,-2945.60328253,-2945.18074108,0.08152834,-2945.26226943,28.4,34.84,41.97,53.58
VEFGIW-S6,PBE0,def2-TZVP,1162.0,-1.0,2.0,0.152483,533.65,3541.2,16.0,828148.0,-3827.48180638,-3827.02559341,0.08957396,-3827.11516737,21.79,22.57,30.61,43.91
VOFZEV-S6,PBE0,def2-TZVP,549.0,1.0,2.0,1.285543,310.89,2387.6,16.0,87232.0,-3255.73187413,-3255.46852294,0.07230719,-3255.54083013,21.25,27.77,33.31,55.36
WUQBAN-S6,PBE0,def2-TZVP,885.0,0.0,2.0,0.659726,415.07,3714.6,16.0,246969.0,-3116.79765418,-3116.48657299,0.07149938,-3116.55807237,16.87,34.95,42.47,44.04
