Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,TPSSh,def2-TZVP,1825.0,0.0,4.0,0.041161,730.56,3064.9,16.0,1544149.0,-3457.65378353,-3457.00170389,0.11188642,-3457.11359031,7.92,24.67,27.45,29.46
CELVEU-S6,TPSSh,def2-TZVP,872.0,0.0,4.0,0.050609,423.75,3711.9,16.0,152281.0,-3400.14476438,-3399.82469954,0.07848776,-3399.9031873,16.26,28.41,31.82,37.92
CEQPOF-S2,TPSSh,def2-TZVP,871.0,0.0,4.0,0.174504,449.16,3630.9,16.0,300676.0,-2339.55589259,-2339.12947587,0.08231622,-2339.21179209,18.33,37.06,45.83,58.38
ELIRUN-S6,TPSSh,def2-TZVP,934.0,0.0,4.0,0.041352,454.53,3602.3,16.0,266366.0,-3600.48494628,-3600.15292583,0.07748416,-3600.23040999,18.68,36.59,44.75,63.49
EXUBIK-S6,TPSSh,def2-TZVP,1147.0,1.0,4.0,0.044969,516.25,6483.4,16.0,394798.0,-2930.7072002,-2930.4063985,0.0843374,-2930.4907359,24.36,27.39,33.52,45.58
FEACAC03-S6,TPSSh,def2-TZVP,822.0,0.0,4.0,0.052767,353.17,3647.1,16.0,294275.0,-2299.91489848,-2299.55058938,0.08300838,-2299.63359776,24.05,25.48,37.47,44.21
FONNAZ-S6,TPSSh,def2-TZVP,1248.0,0.0,4.0,0.046921,525.43,3431.4,16.0,923468.0,-3114.6001159,-3114.06143566,0.0953662,-3114.15680185,13.43,19.25,21.1,27.49
GEDTUE-S4,TPSSh,def2-TZVP,907.0,0.0,4.0,0.113719,535.41,3648.7,16.0,173423.0,-3814.58732615,-3814.14369043,0.09220827,-3814.2358987,13.59,17.2,23.5,29.33
KANYUT-S6,TPSSh,def2-TZVP,1738.0,0.0,4.0,0.039741,704.0,3184.1,16.0,1197503.0,-3637.48691988,-3636.85178125,0.10655591,-3636.95833716,6.05,17.66,27.78,28.47
KIKBOV-S6,TPSSh,def2-TZVP,1538.0,0.0,4.0,0.060929,710.7,3495.0,16.0,1437153.0,-4787.65317652,-4787.0318887,0.12510305,-4787.15699176,17.37,19.56,23.2,25.71
LUJNOV-S6,TPSSh,def2-TZVP,731.0,0.0,4.0,0.049289,381.05,3440.3,16.0,160232.0,-3318.73785449,-3318.52781011,0.0657559,-3318.59356601,28.39,42.91,65.45,84.91
MOPDUQ-S6,TPSSh,def2-TZVP,1305.0,0.0,4.0,0.059303,542.34,3488.9,16.0,1192663.0,-2923.49700141,-2922.99464356,0.09296007,-2923.08760362,10.91,20.37,31.82,37.27
OETPFE-S4,TPSSh,def2-TZVP,1710.0,0.0,4.0,0.044567,688.05,17047.7,32.0,1181141.0,-3642.9471359,-3642.15882377,0.12382023,-3642.282644,10.26,16.23,20.5,33.33
OQODEE-S6,TPSSh,def2-TZVP,748.0,0.0,4.0,0.090992,382.48,3675.4,16.0,143813.0,-3367.88806749,-3367.59158704,0.07267325,-3367.66426029,35.47,46.72,53.97,65.25
POGXEQ-S6,TPSSh,def2-TZVP,947.0,1.0,4.0,0.03612,448.32,3574.3,16.0,314147.0,-3206.98300489,-3206.66686849,0.07737967,-3206.74424816,26.88,30.95,38.27,64.91
QOXVUW-S6,TPSSh,def2-TZVP,2116.0,0.0,4.0,0.046139,955.35,2927.2,16.0,1912143.0,-5303.47195909,-5302.62799359,0.16156185,-5302.78955544,9.47,14.51,19.54,23.09
SAVHIG-S6,TPSSh,def2-TZVP,1526.0,0.0,4.0,0.114461,686.74,3431.6,16.0,1346213.0,-4717.88474108,-4717.29134583,0.11330068,-4717.40464651,11.26,15.09,16.24,16.79
SELQIJ-S4,TPSSh,def2-TZVP,1576.0,0.0,4.0,0.116053,670.08,3322.8,16.0,1032984.0,-4096.85601878,-4096.24206025,0.10349165,-4096.34555191,14.88,17.49,24.49,32.26
SIDVIL-S6,TPSSh,def2-TZVP,558.0,0.0,4.0,0.052951,285.96,2049.1,16.0,67900.0,-2228.38047578,-2228.20665616,0.06503816,-2228.27169433,42.65,53.35,67.08,73.19
TISDUU-S4,TPSSh,def2-TZVP,1815.0,0.0,4.0,0.037732,870.55,6402.7,16.0,1031752.0,-6552.82975335,-6552.11910806,0.14328391,-6552.26239197,9.64,14.95,15.89,17.12
TOQZEH01-S2,TPSSh,def2-TZVP,1566.0,0.0,4.0,0.054953,641.41,3252.8,16.0,1102905.0,-3214.93072658,-3214.40575977,0.09630154,-3214.5020613,10.31,11.23,16.73,29.26
UHEZOX-S6,TPSSh,def2-TZVP,952.0,0.0,4.0,0.05624,414.69,3488.3,16.0,370725.0,-2775.92595564,-2775.52778434,0.07405159,-2775.60183593,23.7,47.87,54.06,69.28
UHIBAP-S2,TPSSh,def2-TZVP,977.0,0.0,4.0,0.049187,405.26,3522.6,16.0,340636.0,-2408.54002335,-2408.13426824,0.0753457,-2408.20961394,22.95,45.13,61.06,68.3
UJAZOX-S6,TPSSh,def2-TZVP,1076.0,0.0,4.0,0.055911,552.46,3557.5,16.0,414994.0,-4614.43179648,-4614.06652735,0.08579339,-4614.15232074,14.45,24.35,27.98,46.0
UWIQIB-S6,TPSSh,def2-TZVP,1020.0,0.0,4.0,0.04996,449.69,3656.5,16.0,418098.0,-2947.49278204,-2947.07495053,0.08628282,-2947.16123336,14.21,26.28,41.5,46.59
VEFGIW-S6,TPSSh,def2-TZVP,1162.0,-1.0,4.0,0.087819,533.65,3536.0,16.0,857809.0,-3829.70990516,-3829.25863576,0.09345062,-3829.35208638,19.38,21.69,23.28,36.33
VOFZEV-S6,TPSSh,def2-TZVP,549.0,1.0,4.0,0.046786,310.89,2379.8,16.0,82191.0,-3257.12379697,-3256.86114034,0.07283499,-3256.93397533,22.02,25.0,34.29,62.11
WUQBAN-S6,TPSSh,def2-TZVP,885.0,0.0,4.0,0.044388,415.07,3713.7,16.0,238756.0,-3118.55423885,-3118.24651183,0.07368685,-3118.32019868,12.17,24.57,36.51,39.62
