Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
CALGAX-S6,B3LYP,def2-TZVP,1825.0,0.0,2.0,0.385379,730.56,3063.8,16.0,1861984.0,-3456.09508903,-3455.44119092,0.11125579,-3455.55244671,9.24,11.62,15.06,16.34
CELVEU-S6,B3LYP,def2-TZVP,872.0,0.0,2.0,0.551525,423.75,3711.7,16.0,157445.0,-3399.25524599,-3398.93459673,0.07739685,-3399.01199358,18.68,28.7,33.73,40.65
CEQPOF-S2,B3LYP,def2-TZVP,871.0,0.0,2.0,0.103319,449.16,3631.2,16.0,232323.0,-2338.94819437,-2338.51950648,0.07914974,-2338.59865622,24.49,40.44,48.31,60.01
ELIRUN-S6,B3LYP,def2-TZVP,934.0,0.0,2.0,0.529625,454.53,3602.3,16.0,310799.0,-3599.54387812,-3599.21073169,0.07592146,-3599.28665315,20.39,37.18,48.0,66.78
EXUBIK-S6,B3LYP,def2-TZVP,1147.0,1.0,2.0,0.021324,516.25,6482.8,16.0,384828.0,-2929.66213284,-2929.35788133,0.08274409,-2929.44062542,23.99,29.77,35.43,36.13
FEACAC03-S6,B3LYP,def2-TZVP,822.0,0.0,2.0,0.042442,353.17,3648.1,16.0,226965.0,-2299.20972109,-2298.84366179,0.07911083,-2298.92277262,24.87,39.56,50.35,54.87
FONNAZ-S6,B3LYP,def2-TZVP,1248.0,0.0,2.0,0.028175,525.43,3433.2,16.0,972656.0,-3113.51775052,-3112.97647966,0.0919218,-3113.06840146,17.88,20.42,24.47,30.2
GEDTUE-S4,B3LYP,def2-TZVP,907.0,0.0,2.0,0.939196,535.41,3648.1,16.0,215401.0,-3813.78698821,-3813.34273354,0.09096079,-3813.43369433,14.39,20.83,25.44,29.32
KANYUT-S6,B3LYP,def2-TZVP,1738.0,0.0,2.0,0.543598,704.0,3183.6,16.0,1540865.0,-3635.9771329,-3635.34060227,0.10634961,-3635.44695188,9.66,11.21,15.0,16.51
KIKBOV-S6,B3LYP,def2-TZVP,1538.0,0.0,2.0,1.36435,710.7,3493.1,16.0,1158486.0,-4786.18190091,-4785.5597597,0.1264638,-4785.68622349,9.72,11.72,18.65,21.26
LUJNOV-S6,B3LYP,def2-TZVP,731.0,0.0,2.0,0.420092,381.05,3444.4,16.0,200801.0,-3317.95160768,-3317.74070526,0.06443642,-3317.80514168,29.02,46.17,76.84,81.93
MOPDUQ-S6,B3LYP,def2-TZVP,1305.0,0.0,2.0,0.03077,542.34,3491.0,16.0,865590.0,-2922.37083456,-2921.86627179,0.08933673,-2921.95560852,14.84,23.71,31.63,47.06
OETPFE-S4,B3LYP,def2-TZVP,1710.0,0.0,2.0,0.618366,688.05,17047.9,32.0,1521618.0,-3641.45192611,-3640.66231919,0.12114138,-3640.78346057,17.63,19.39,24.28,38.01
OQODEE-S6,B3LYP,def2-TZVP,748.0,0.0,2.0,0.064738,382.48,3676.4,16.0,193787.0,-3367.10255505,-3366.80472537,0.07049129,-3366.87521666,15.61,48.26,57.34,78.44
POGXEQ-S6,B3LYP,def2-TZVP,947.0,1.0,2.0,0.026913,448.32,3575.7,16.0,305842.0,-3206.08964631,-3205.77152193,0.07429858,-3205.84582051,35.17,39.48,41.88,73.71
QOXVUW-S6,B3LYP,def2-TZVP,2116.0,0.0,2.0,0.804975,955.35,2926.9,16.0,2443162.0,-5301.57752715,-5300.73165375,0.15928744,-5300.89094119,10.2,17.56,20.39,23.97
SAVHIG-S6,B3LYP,def2-TZVP,1526.0,0.0,2.0,0.811505,686.74,3429.3,16.0,1103744.0,-4716.43487272,-4715.83992314,0.11122316,-4715.9511463,14.0,17.34,18.04,21.75
SELQIJ-S4,B3LYP,def2-TZVP,1576.0,0.0,2.0,0.623604,670.08,3320.5,16.0,992732.0,-4095.420788,-4094.80463347,0.10176789,-4094.90640136,13.66,18.64,21.67,35.41
SIDVIL-S6,B3LYP,def2-TZVP,558.0,0.0,2.0,0.055669,285.96,2042.2,16.0,48979.0,-2227.82741752,-2227.65133345,0.06065798,-2227.71199143,45.79,66.08,83.82,92.08
TISDUU-S4,B3LYP,def2-TZVP,1815.0,0.0,2.0,0.63042,870.55,6401.0,16.0,1535728.0,-6550.97838588,-6550.26704469,0.14191402,-6550.40895872,11.1,12.8,16.22,18.44
TOQZEH01-S2,B3LYP,def2-TZVP,1566.0,0.0,2.0,0.039832,641.41,3254.7,16.0,971514.0,-3213.60843042,-3213.08074599,0.09245713,-3213.17320312,10.45,14.63,21.15,36.71
UHEZOX-S6,B3LYP,def2-TZVP,952.0,0.0,2.0,0.039325,414.69,3490.9,16.0,354108.0,-2775.07788657,-2774.67727547,0.07084395,-2774.74811942,29.19,59.7,74.62,76.89
UHIBAP-S2,B3LYP,def2-TZVP,977.0,0.0,2.0,0.019885,405.26,3525.7,16.0,349330.0,-2407.70938447,-2407.3010811,0.07207286,-2407.37315396,27.78,56.79,72.85,76.3
UJAZOX-S6,B3LYP,def2-TZVP,1076.0,0.0,2.0,0.038248,552.46,3560.4,16.0,403603.0,-4613.32500785,-4612.95724868,0.0823866,-4613.03963527,18.07,29.0,33.16,51.61
UWIQIB-S6,B3LYP,def2-TZVP,1020.0,0.0,2.0,0.166493,449.69,3513.6,16.0,400613.0,-2946.56528353,-2946.14582011,0.08233649,-2946.2281566,27.19,34.08,42.76,50.97
VEFGIW-S6,B3LYP,def2-TZVP,1162.0,-1.0,2.0,0.109306,533.65,3538.6,16.0,632563.0,-3828.61056829,-3828.15709767,0.09020085,-3828.24729851,21.64,22.35,28.56,42.22
VOFZEV-S6,B3LYP,def2-TZVP,549.0,1.0,2.0,1.057934,310.89,2387.3,16.0,88653.0,-3256.48453957,-3256.2218926,0.07269556,-3256.29458816,20.18,25.83,30.44,50.32
WUQBAN-S6,B3LYP,def2-TZVP,885.0,0.0,2.0,0.569638,415.07,3714.2,16.0,231432.0,-3117.69050225,-3117.38160986,0.0717333,-3117.45334316,17.13,37.18,42.99,46.31
