Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2765.1449852667,C1,42.63,58.67,58.97,64.81,-2764.77777524,-2764.77683103,0.07564231,-2764.85247334,174581.36,1602.6,1121.0,
BOYDOI,,-3200.834357391374,C1,14.35,15.41,15.63,21.18,-3200.46968727,-3200.46874307,0.09140681,-3200.56014988,109232.784,1613.6,971.0,
CAGROU,,-3205.476173953783,C1,16.5,18.02,18.15,29.77,-3204.89682403,-3204.89587982,0.09416007,-3204.99003989,435754.976,1658.1,1615.0,
ERIWEK01,,-3504.84385107964,C1,14.32,14.98,27.96,35.83,-3504.31201393,-3504.31106972,0.09431312,-3504.40538284,318396.88,1607.5,1329.0,
ERIWOU01,,-3583.480773613512,C1,19.98,22.11,29.33,32.14,-3582.88882152,-3582.88787731,0.09924163,-3582.98711893,389366.176,1567.8,1415.0,
FEGVOE01,,-3126.992215208169,C1,23.82,31.78,36.21,43.62,-3126.18646907,-3126.18552486,0.11509025,-3126.30061512,656769.328,1616.9,1423.0,
HALCROW-H,,-2660.138946282142,C1,34.77,34.86,37.45,59.22,-2659.71796478,-2659.71702057,0.07497292,-2659.79199349,214249.472,1578.6,1145.0,
HALCROW-X-Br,,-7807.295457800732,C1,17.93,18.02,37.55,58.84,-7806.89241647,-7806.89147226,0.08302499,-7806.97449725,212651.904,1583.5,1229.0,
HALCROW-X-CH2SCN,,-3719.667258109687,C1,28.67,31.97,33.95,38.23,-3719.17978917,-3719.17884496,0.093676,-3719.27252096,336985.072,1650.9,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3461.600507526293,"
*****************
*ORCA*
*****************

#",,,,,,,,,,458.3,1825.0,Error termination in PROPINT
HALCROW-X-cisCHCHC6H4NO24,,-3686.181374316307,C1,4.32,6.65,8.12,8.78,-3685.50484299,-3685.50389878,0.11674682,-3685.6206456,556183.264,1688.7,1887.0,
HALCROW-X-cisCHCHPh,,-3277.117415165919,"
*****************
*ORCA*
*****************

#",,,,,,,,,,431.2,1713.0,Error termination in PROPINT
HALCROW-X-Cl,,-3579.351978277042,C1,22.75,22.84,37.61,59.07,-3578.94817913,-3578.94723492,0.08085378,-3579.02808871,206497.008,1630.3,1207.0,
HALCROW-X-CO2H,,-3037.354395960702,C1,20.63,20.67,36.38,49.85,-3036.89781947,-3036.89687526,0.08734418,-3036.98421944,326558.176,1702.2,1331.0,
HALCROW-X-F,,-2858.651786142413,C1,27.58,27.67,37.71,59.29,-2858.24585886,-2858.24491465,0.07872802,-2858.32364267,212288.688,1600.8,1195.0,
HALCROW-X-I,,-3254.434702949298,C1,15.28,15.36,37.37,58.47,-3254.03217539,-3254.03123118,0.08457559,-3254.11580677,235770.192,1611.3,1233.0,
HALCROW-X-Me,,-2738.793650258776,C1,26.8,27.22,27.88,28.07,-2738.31389202,-2738.31294781,0.083292,-2738.39623982,199856.8,1594.4,1231.0,
HALCROW-X-NH3,,-2770.911441753078,C1,26.9,26.94,36.85,57.78,-2770.45371686,-2770.45277266,0.08078032,-2770.53355298,171014.4,1590.3,1219.0,
HALCROW-X-NMe2,,-2928.153303894741,C1,20.82,20.88,35.64,57.02,-2927.57559133,-2927.57464712,0.09308788,-2927.667735,311194.688,1600.2,1391.0,
HALCROW-X-NO2,,-3069.176271187452,C1,21.25,21.35,36.17,43.7,-3068.74550195,-3068.74455775,0.0864171,-3068.83097484,320924.0,1672.9,1319.0,
HALCROW-X-OH,,-2810.629308906756,C1,27.31,27.32,37.24,58.57,-2810.197284,-2810.19633979,0.07952581,-2810.2758656,219187.488,1632.5,1207.0,
HALCROW-X-OMe,,-2889.243772355186,C1,23.18,23.24,36.74,58.07,-2888.7518716,-2888.75092739,0.08585633,-2888.83678372,243773.872,1624.0,1293.0,
HALCROW-X-pz,,-3110.211927847897,C1,16.95,16.97,35.51,46.33,-3109.67944217,-3109.67849796,0.09131662,-3109.76981458,332222.144,1625.8,1479.0,
HALCROW-X-SH,,-3456.545275766532,C1,22.6,22.66,37.3,58.46,-3456.12245002,-3456.12150581,0.08278977,-3456.20429558,168119.184,1561.6,1219.0,
HALCROW-X-SMe,,-3535.190741186602,C1,20.47,20.51,36.58,57.99,-3534.70538645,-3534.70444225,0.08880846,-3534.7932507,296961.792,1537.2,1305.0,
HALCROW-X-SO2Me,,-3836.077391457046,C1,17.58,17.81,24.94,26.98,-3835.57011034,-3835.56916613,0.09560793,-3835.66477406,323317.12,1666.1,1429.0,
HALCROW-X-SOMe,,-3685.582301791311,C1,18.46,18.74,35.35,47.16,-3685.0879033,-3685.08695909,0.09271601,-3685.1796751,296002.88,1666.5,1367.0,
HALCROW-Y-Br,,-12954.437240098698,C1,13.53,17.63,17.66,30.06,-12954.05120954,-12954.05026533,0.09046675,-12954.14073209,244810.352,1549.2,1313.0,
HALCROW-Y-CH2OH,,-3118.350127246107,C1,17.83,23.74,23.82,31.3,-3117.78548324,-3117.78453903,0.0985066,-3117.88304564,441973.344,1698.4,1441.0,
HALCROW-Y-Cl,,-4498.544296062611,C1,19.56,24.16,24.18,34.19,-4498.15688126,-4498.15593705,0.08642353,-4498.24236057,235588.816,1563.2,1269.0,
HALCROW-Y-CO2Et,,-3729.097442858845,C1,11.38,14.62,14.65,26.03,-3728.36521759,-3728.36427338,0.1235495,-3728.48782288,650027.248,1692.2,1861.0,
HALCROW-Y-I,,-3848.724223352512,C1,10.4,13.9,13.91,27.82,-3848.33912807,-3848.33818387,0.09351293,-3848.4316968,261255.936,1588.4,1321.0,
HALCROW-Y-Me,,-2817.437183761555,C1,27.19,30.2,30.26,40.89,-2816.89772917,-2816.89678496,0.09010809,-2816.98689305,265371.84,1572.2,1317.0,
HALCROW-Y-tBu,,-3289.264195478177,C1,16.09,19.55,19.62,25.79,-3288.36854365,-3288.36759944,0.11891126,-3288.48651071,1297686.752,1744.2,1833.0,
HPZBFE,,-2668.810671445272,C1,44.77,59.18,59.28,66.32,-2668.37429502,-2668.37335081,0.07686298,-2668.4502138,217429.504,1617.4,1157.0,
KEKVIF03,,-3389.321852068496,C1,15.93,17.78,18.27,20.59,-3388.91886851,-3388.9179243,0.08367144,-3389.00159575,316191.088,1629.3,1207.0,
NEFSUM02,,-2790.299457315256,C1,28.05,37.21,39.97,48.22,-2789.79237303,-2789.79142882,0.0830676,-2789.87449642,349053.44,1559.9,1305.0,
RUWZUF,,-2458.359540138679,C1,24.69,26.41,29.58,33.41,-2457.81878554,-2457.81784133,0.08805461,-2457.90589594,229497.536,1615.8,1155.0,
SAKWIM,,-4057.793296120175,C1,27.9,38.23,44.98,50.34,-4056.78423766,-4056.78329345,0.13070149,-4056.91399495,1069320.976,1780.9,1636.0,
WAHKEX,,-3201.151559175022,C1,20.02,22.96,26.91,33.49,-3200.73374105,-3200.73279684,0.07974143,-3200.81253827,186329.712,1575.4,1076.0,
ZUCROE,,-4204.81848585545,C1,-10.13,11.73,14.42,19.29,-4204.05648824,-4204.05554403,0.13990443,-4204.19544846,1944787.28,1832.5,2321.0,
