Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.019619307455,C1,47.07,59.75,59.95,67.21,-2764.65613449,-2764.65519028,0.07494193,-2764.73013221,134286.144,3134.9,1121.0
BOYDOI,,-3200.69132902863,C1,12.86,13.87,14.51,19.39,-3200.32989814,-3200.32895393,0.09086554,-3200.41981947,67093.04,3221.5,971.0
CAGROU,,-3205.435244611343,C1,15.2,17.61,18.08,29.12,-3204.86140315,-3204.86045895,0.09460331,-3204.95506225,387701.568,3082.4,1615.0
ERIWEK01,,-3504.750707286528,C1,20.48,22.44,32.06,37.08,-3504.22359889,-3504.22265468,0.09365848,-3504.31631316,306678.368,3124.7,1329.0
ERIWOU01,,-3583.390583231533,C1,22.29,25.12,31.53,31.82,-3582.80382073,-3582.80287652,0.09887259,-3582.90174911,390591.744,3109.8,1415.0
FEGVOE01,,-3126.981597381619,C1,12.11,29.67,38.37,43.8,-3126.18238699,-3126.18144278,0.11632681,-3126.29776958,667516.272,3058.3,1423.0
HALCROW-H,,-2660.077522252203,C1,35.07,35.31,37.3,58.49,-2659.66046485,-2659.65952064,0.07456004,-2659.73408068,167453.168,3111.0,1145.0
HALCROW-X-Br,,-7807.205080357677,C1,17.17,17.57,37.37,58.02,-7806.80587221,-7806.80492801,0.08279675,-7806.88772475,194617.68,3098.3,1229.0
HALCROW-X-CH2SCN,,-3719.539328919459,C1,27.24,30.52,32.19,38.29,-3719.05656814,-3719.05562393,0.09357548,-3719.14919941,268599.232,3097.7,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3461.523384662397,C1,7.7,7.96,13.51,13.92,-3460.86330526,-3460.86236105,0.11281342,-3460.97517447,421316.432,3180.7,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3686.075450335709,C1,7.1,7.28,11.8,12.09,-3685.40586861,-3685.4049244,0.1162517,-3685.52117611,523168.944,3150.3,1887.0
HALCROW-X-cisCHCHPh,,-3277.065214282567,C1,9.44,9.73,15.56,16.07,-3276.40574485,-3276.40480064,0.1048744,-3276.50967505,410733.168,3220.4,1713.0
HALCROW-X-Cl,,-3579.22123184995,C1,22.06,22.45,37.44,58.19,-3578.82124126,-3578.82029705,0.08058727,-3578.90088432,191342.224,3094.1,1207.0
HALCROW-X-CO2H,,-3037.244697426315,C1,20.12,20.54,36.18,49.45,-3036.79250125,-3036.79155704,0.08709129,-3036.87864833,205031.056,3105.7,1331.0
HALCROW-X-F,,-2858.553775967079,C2,27.15,27.49,37.57,58.44,-2858.15156726,-2858.15062305,0.07771717,-2858.22834022,193215.2,3133.4,1195.0
HALCROW-X-I,,-3254.564106402631,C1,14.51,14.88,37.26,57.78,-3254.16541918,-3254.16447497,0.0843562,-3254.24883117,176688.336,3113.4,1233.0
HALCROW-X-Me,,-2738.735586453683,C1,27.08,27.42,28.83,29.29,-2738.26037797,-2738.25943376,0.08293554,-2738.3423693,171700.64,3111.4,1231.0
HALCROW-X-NH3,,-2770.84290923065,C1,26.4,26.73,36.76,56.82,-2770.38950884,-2770.38856463,0.08068516,-2770.46924979,186716.576,3092.9,1219.0
HALCROW-X-NMe2,,-2928.091461106744,C1,19.27,19.66,35.38,55.94,-2927.51945573,-2927.51851152,0.09335683,-2927.61186835,286206.016,3251.3,1391.0
HALCROW-X-NO2,,-3069.064879784318,C1,20.66,21.07,35.8,43.1,-3068.63852058,-3068.63757637,0.08621364,-3068.72379001,226963.68,3061.3,1319.0
HALCROW-X-OH,,-2810.546721894497,C1,27.03,27.34,37.2,57.73,-2810.11876837,-2810.11782416,0.07921284,-2810.197037,182890.864,3095.2,1207.0
HALCROW-X-OMe,,-2889.162328809209,C1,22.28,22.64,36.67,57.25,-2888.67505976,-2888.67411555,0.0856963,-2888.75981184,206160.272,3064.2,1293.0
HALCROW-X-pz,,-3110.126688498737,C1,15.73,16.11,35.24,45.55,-3109.59955424,-3109.59861003,0.09122633,-3109.68983635,260377.44,3192.6,1479.0
HALCROW-X-SH,,-3456.43429746091,C1,21.85,22.27,37.12,57.54,-3456.01568807,-3456.01474386,0.08252444,-3456.0972683,167255.184,3115.7,1219.0
HALCROW-X-SMe,,-3535.085407512254,C1,19.29,19.67,36.48,57.14,-3534.6048483,-3534.60390409,0.08872705,-3534.69263114,212902.368,3116.5,1305.0
HALCROW-X-SO2Me,,-3835.932972031286,C1,16.32,16.7,21.93,23.9,-3835.43079401,-3835.4298498,0.09583043,-3835.52568023,252461.904,3135.1,1429.0
HALCROW-X-SOMe,,-3685.460448631744,C1,17.87,18.25,35.02,46.43,-3684.97106231,-3684.9701181,0.09278391,-3685.06290201,244160.4,3141.8,1367.0
HALCROW-Y-Br,,-12954.315109296029,C1,13.0,17.56,17.61,29.88,-12953.9328999,-12953.93195569,0.09029937,-12954.02225506,192411.568,3056.7,1313.0
HALCROW-Y-CH2OH,,-3118.252275390626,C1,17.14,23.43,23.44,31.25,-3117.69337768,-3117.69243347,0.09831972,-3117.79075319,283499.984,3190.7,1441.0
HALCROW-Y-Cl,,-4498.343735071249,C1,18.98,24.35,24.43,33.44,-4497.96009906,-4497.95915485,0.08619917,-4498.04535402,172762.736,3071.7,1269.0
HALCROW-Y-CO2Et,,-3728.941564924371,C1,10.35,13.96,13.99,24.89,-3728.21644929,-3728.21550508,0.12388368,-3728.33938877,423926.064,3317.9,1861.0
HALCROW-Y-I,,-3849.039247524988,C1,9.81,13.68,13.72,28.06,-3848.65796815,-3848.65702394,0.09336676,-3848.7503907,184664.816,3084.0,1321.0
HALCROW-Y-Me,,-2817.385108224968,C1,26.31,30.52,30.62,39.38,-2816.85074086,-2816.84979665,0.08979622,-2816.93959287,258122.304,3066.3,1317.0
HALCROW-Y-tBu,,-3289.229610233453,C1,13.76,18.31,18.31,23.56,-3288.34212574,-3288.34118153,0.1196192,-3288.46080073,587343.856,3077.6,1833.0
HPZBFE,,-2668.7351828315,C1,48.73,60.41,60.51,67.26,-2668.30285851,-2668.30191431,0.07628112,-2668.37819543,194347.248,3108.3,1157.0
KEKVIF03,,-3389.230951748606,C1,20.21,22.33,31.75,35.8,-3388.83208832,-3388.83114411,0.08270808,-3388.91385219,212392.768,3095.4,1207.0
NEFSUM02,,-2790.24535193049,C1,26.24,36.83,42.49,49.37,-2789.74286445,-2789.74192024,0.08270778,-2789.82462802,226654.64,3074.1,1305.0
RUWZUF,,-2458.372789363338,C1,24.9,26.22,27.82,34.49,-2457.83737398,-2457.83642978,0.08777288,-2457.92420266,232286.944,3143.5,1155.0
