Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used,Error Code
BAXFIS02,,-2766.047170512586,C1,44.5,58.9,58.98,65.45,-2765.67952777,-2765.67858356,0.07524378,-2765.75382735,190547.04,1595.4,1121.0,
BOYDOI,,-3201.534982871982,C1,14.74,15.14,15.39,20.94,-3201.1703381,-3201.16939389,0.09096851,-3201.2603624,96871.952,1606.8,971.0,
CAGROU,,-3206.797828717876,C1,16.44,18.38,18.49,29.75,-3206.21901496,-3206.21807075,0.09411952,-3206.31219027,494406.672,1650.4,1615.0,
ERIWEK01,,-3505.870703416087,C1,21.15,23.78,33.29,37.29,-3505.33895839,-3505.33801418,0.09356638,-3505.43158057,339253.168,1599.4,1329.0,
ERIWOU01,,-3584.576450937493,C1,22.05,25.09,31.6,32.47,-3583.98448893,-3583.98354472,0.09866698,-3584.0822117,439498.096,1564.1,1415.0,
FEGVOE01,,-3128.085893225468,C1,23.12,24.3,37.79,46.08,-3127.27973555,-3127.27879134,0.11520904,-3127.39400038,692143.84,1609.8,1423.0,
HALCROW-H,,-2661.045304465149,C1,34.22,34.29,36.02,57.6,-2660.62460271,-2660.6236585,0.07477419,-2660.69843269,216511.056,1571.8,1145.0,
HALCROW-X-Br,,-7807.969225896325,C1,17.35,17.38,36.02,57.2,-7807.5663324,-7807.56538819,0.08287013,-7807.64825832,216183.168,1575.8,1229.0,
HALCROW-X-CH2SCN,,-3720.777421579898,C1,27.57,30.91,32.16,37.25,-3720.29003709,-3720.28909288,0.09358897,-3720.38268185,389587.44,1643.6,1417.0,
HALCROW-X-cisCHCHC6H4CN4,,-3463.086231147465,C1,3.66,5.76,9.43,9.57,-3462.42003514,-3462.41909093,0.11374195,-3462.53283287,660138.416,1600.8,1825.0,
HALCROW-X-cisCHCHC6H4NO24,,-3687.719873187557,C1,7.62,7.74,12.71,13.35,-3687.04385967,-3687.04291547,0.11596792,-3687.15888338,553811.2,1678.7,1887.0,
HALCROW-X-cisCHCHPh,,-3278.502439879313,C1,5.23,5.86,11.05,11.17,-3277.83706215,-3277.83611794,0.10584372,-3277.94196166,508153.744,1601.5,1713.0,
HALCROW-X-Cl,,-3580.267468618341,C1,22.06,22.11,36.16,57.41,-3579.86384864,-3579.86290443,0.08069881,-3579.94360324,230122.144,1623.1,1207.0,
HALCROW-X-CO2H,,-3038.422755437266,C1,20.28,20.36,34.89,47.96,-3037.96653062,-3037.96558642,0.08722868,-3038.0528151,301698.304,1694.1,1331.0,
HALCROW-X-F,,-2859.601546488387,C1,26.79,26.83,36.3,57.62,-2859.19587798,-2859.19493377,0.0785641,-2859.27349788,215412.912,1593.9,1195.0,
HALCROW-X-I,,-3255.422388233908,C1,14.75,14.79,35.78,56.86,-3255.01994563,-3255.01900142,0.08439231,-3255.10339373,257201.744,1604.2,1233.0,
HALCROW-X-Me,,-2739.769652546323,C1,26.65,26.71,28.37,29.14,-2739.2902217,-2739.28927749,0.08310489,-2739.37238238,232272.144,1586.9,1231.0,
HALCROW-X-NH3,,-2771.879090206161,C1,26.12,26.16,35.33,56.09,-2771.42182711,-2771.4208829,0.08075432,-2771.50163722,239509.904,1556.5,1219.0,
HALCROW-X-NMe2,,-2929.260803498556,C1,19.9,19.98,34.03,55.24,-2928.68357581,-2928.6826316,0.0931204,-2928.775752,340448.272,1591.4,1391.0,
HALCROW-X-NO2,,-3070.236997967716,C1,21.23,21.25,35.89,43.66,-3069.80662102,-3069.80567681,0.0862605,-3069.89193732,271371.248,1664.9,1319.0,
HALCROW-X-OH,,-2811.589471805024,C1,26.67,26.69,35.77,56.87,-2811.15783039,-2811.15688618,0.07937818,-2811.23626436,212889.376,1625.1,1207.0,
HALCROW-X-OMe,,-2890.273735455905,C1,22.2,22.22,35.29,56.48,-2889.78216713,-2889.78122292,0.08573565,-2889.86695856,282100.352,1615.8,1293.0,
HALCROW-X-pz,,-3111.406005559458,C1,15.97,16.0,34.01,44.27,-3110.87397974,-3110.87303553,0.0913219,-3110.96435743,319488.688,1618.8,1479.0,
