Identifier,Molecular Weight / g mol-1,Single Point Energy / HF,Point Group,Vibrational Frequency 6 / cm-1,Vibrational Frequency 7 / cm-1,Vibrational Frequency 8 / cm-1,Vibrational Frequency 9 / cm-1,Total Thermal Energy / HF,Total Enthalpy / HF,Entropy Term / HF,Total Gibbs Free Energy / HF,CPU time / sec,Maximum RAM mem per CPU / MB,Number of Basis Sets Used
BAXFIS02,,-2765.95992804724,Ci,46.61,59.25,59.43,66.43,-2765.60496357,-2765.60401936,0.0755824,-2765.67960176,63914.064,3474.4,1121.0
BOYDOI,,-3201.509109526996,C1,6.93,11.35,12.52,18.11,-3201.15433983,-3201.15339562,0.0917362,-3201.24513182,40882.08,2779.4,971.0
CAGROU,,-3206.620566297237,C1,13.98,15.9,17.37,28.64,-3206.05759172,-3206.05664751,0.09608008,-3206.15272759,191265.696,11756.3,1615.0
ERIWEK01,,-3505.753458936273,C1,13.45,14.72,28.95,34.29,-3505.23530428,-3505.23436007,0.09489388,-3505.32925395,113909.632,6662.1,1329.0
ERIWOU01,,-3584.429594054183,C1,19.75,21.51,29.35,30.13,-3583.85268015,-3583.85173594,0.10048153,-3583.95221747,176975.376,9228.6,1415.0
FEGVOE01,,-3127.822814459477,C1,5.17,10.07,34.83,36.05,-3127.03460049,-3127.03365629,0.11990785,-3127.15356414,267222.208,11853.1,1423.0
HALCROW-H,,-2661.32613167576,C1,27.42,33.37,37.25,47.35,-2660.92650415,-2660.92555994,0.07756868,-2661.00312863,137899.904,4689.3,1145.0
HALCROW-X-Br,,-7808.257863877968,C1,14.21,17.16,36.03,47.89,-7807.87494481,-7807.8740006,0.08625566,-7807.96025626,199142.8,5322.1,1229.0
HALCROW-X-CH2SCN,,-3721.097153643762,C1,24.78,27.15,28.99,32.95,-3720.62959725,-3720.62865304,0.09886038,-3720.72751342,198168.656,8143.2,1417.0
HALCROW-X-cisCHCHC6H4CN4,,-3463.262837326477,C1,4.62,7.74,23.01,24.6,-3462.62193556,-3462.62099135,0.1147929,-3462.73578425,259831.296,16120.1,1825.0
HALCROW-X-cisCHCHC6H4NO24,,-3687.94262568882,C1,4.34,7.82,18.9,20.58,-3687.29286972,-3687.29192551,0.11794559,-3687.4098711,345766.544,17486.8,1887.0
HALCROW-X-cisCHCHPh,,-3278.656003160138,C1,6.82,10.06,21.64,22.76,-3278.01663891,-3278.0156947,0.10717614,-3278.12287085,300995.664,14134.3,1713.0
HALCROW-X-Cl,,-3580.59947432747,C1,18.13,21.75,36.41,47.41,-3580.21602583,-3580.21508162,0.08398529,-3580.29906691,166161.52,5126.7,1207.0
HALCROW-X-CO2H,,-3038.731264666398,C1,-12.0,18.23,35.99,50.69,-3038.29613638,-3038.29519217,0.08757917,-3038.38277134,156979.008,6716.0,1331.0
HALCROW-X-F,,-2859.897828420989,C1,-13.49,22.07,22.34,51.92,-2859.51538443,-2859.51444022,0.08072379,-2859.59516401,129032.544,5021.0,1195.0
HALCROW-X-I,,-3255.318460186222,C1,9.87,10.22,22.22,46.08,-3254.9370197,-3254.93607549,0.088672,-3255.02474749,198723.6,5333.1,1233.0
HALCROW-X-Me,,-2740.006719697241,C1,22.15,26.24,36.54,44.33,-2739.54962539,-2739.54868118,0.08555025,-2739.63423143,233645.04,5913.0,1231.0
HALCROW-X-NH3,,-2772.100179045807,C1,18.65,24.33,26.69,49.25,-2771.66596926,-2771.66502505,0.0847185,-2771.74974355,322387.168,5593.4,1219.0
HALCROW-X-NMe2,,-2929.422874487418,C1,-69.3,-69.3,19.72,19.97,-2928.87402006,-2928.87307585,0.09532956,-2928.96840541,247889.6,8519.5,1391.0
HALCROW-X-NO2,,-3070.640096186887,C1,7.8,18.81,36.05,52.73,-3070.22838864,-3070.22744443,0.08845029,-3070.31589473,93952.944,6194.1,1319.0
HALCROW-X-OH,,-2811.84994159589,C1,18.39,22.17,22.44,50.06,-2811.44127585,-2811.44033164,0.08412545,-2811.52445709,226514.592,5307.0,1207.0
HALCROW-X-OMe,,-2890.504275424566,C1,18.24,18.56,20.49,49.19,-2890.03665669,-2890.03571248,0.08998951,-2890.12570199,133573.136,6425.1,1293.0
HALCROW-X-pz,,-3111.621773729104,C1,12.7,15.95,33.56,38.82,-3111.11387014,-3111.11292593,0.09441386,-3111.2073398,200580.4,9177.4,1479.0
HALCROW-X-SH,,-3457.792774719318,C1,18.02,21.91,36.38,49.62,-3457.39090412,-3457.38995991,0.08654846,-3457.47650838,178297.696,5419.2,1219.0
HALCROW-X-SMe,,-3536.471047192242,C1,14.96,17.81,26.24,27.1,-3536.0074251,-3536.00648089,0.09327352,-3536.09975441,150605.312,6542.4,1305.0
HALCROW-X-SO2Me,,-3837.530747095755,C1,13.27,15.91,30.66,34.31,-3837.04459245,-3837.04364824,0.09810526,-3837.1417535,183352.048,8407.1,1429.0
HALCROW-X-SOMe,,-3686.960030773292,C1,12.76,15.86,24.79,30.92,-3686.4871646,-3686.48622039,0.09654771,-3686.58276811,211833.856,7549.5,1367.0
HALCROW-Y-Br,,-12955.17223622174,C1,11.96,12.73,15.27,22.0,-12954.80614089,-12954.80519668,0.09405462,-12954.89925131,267418.8,6000.7,1313.0
HALCROW-Y-CH2OH,,-3119.693421806066,C1,10.95,15.6,15.86,17.14,-3119.1544353,-3119.15349109,0.1035972,-3119.25708829,193137.904,9065.8,1441.0
HALCROW-Y-Cl,,-4499.854253137227,C1,17.32,18.21,20.94,25.1,-4499.48690683,-4499.48596263,0.08986885,-4499.57583148,234884.112,5585.6,1269.0
HALCROW-Y-CO2Et,,-3730.756298096813,C1,-28.09,10.06,10.31,13.27,-3730.05515131,-3730.0542071,0.12585286,-3730.18005997,352102.864,18197.6,1861.0
HALCROW-Y-I,,-3849.311638369774,C1,7.89,9.52,11.85,20.95,-3848.94635646,-3848.94541225,0.0973469,-3849.04275915,307784.208,6049.9,1321.0
HALCROW-Y-Me,,-2818.690186787241,C1,22.76,25.54,26.81,30.63,-2818.17429157,-2818.17334736,0.0940074,-2818.26735475,260343.248,7341.7,1317.0
HALCROW-Y-tBu,,-3290.743607426489,C1,-32.17,9.42,10.45,12.21,-3289.88120787,-3289.88026366,0.12376436,-3290.00402803,381054.32,20658.2,1833.0
HPZBFE,,-2669.615212173484,Ci,48.76,59.95,60.05,67.07,-2669.191602,-2669.1906578,0.07701517,-2669.26767297,64913.536,4865.4,1157.0
