Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,TPSSh,def2-TZVP,1489.0,0.0,2.0,0.539038,654.37,3290.3,16.0,1044329.0,-4376.67052856,-4376.08030237,0.10784775,-4376.18815011,13.0,21.13,24.37,29.69,-4.471776141103749
BIHGII-S4,TPSSh,def2-TZVP,1511.0,0.0,2.0,0.614732,743.27,3384.2,16.0,1014734.0,-8604.3586473,-8603.76868772,0.10924877,-8603.87793649,14.11,21.93,24.77,28.62,-5.058892589285256
BUQVOY-S2,TPSSh,def2-TZVP,1878.0,0.0,2.0,0.058207,871.33,3422.2,16.0,1942681.0,-4469.81374432,-4469.03821092,0.12402446,-4469.16223538,17.24,20.49,23.6,25.18,-4.423356280354468
CETBOV-S4,TPSSh,def2-TZVP,1647.0,0.0,2.0,0.669966,797.32,3278.2,16.0,1281368.0,-8795.1972638,-8794.55933875,0.11225083,-8794.67158958,15.83,22.16,23.21,30.5,-4.9724397021537765
CETBUB-S4,TPSSh,def2-TZVP,1749.0,0.0,2.0,0.160464,753.7,6413.7,16.0,1211850.0,-4629.25174058,-4628.59011048,0.11871457,-4628.70882505,16.14,18.11,20.56,23.73,-4.728107578720479
CTPYCO01-S4,TPSSh,def2-TZVP,743.0,0.0,2.0,0.019906,363.1,3710.2,16.0,113760.0,-3046.22960363,-3045.97959522,0.0633324,-3046.04292763,31.76,54.3,69.27,70.12,-5.355854222814825
DAHROU01-S4,TPSSh,def2-TZVP,849.0,0.0,2.0,0.007229,405.15,3744.9,16.0,158229.0,-2741.9457794,-2741.68935916,0.08020636,-2741.76956553,20.91,36.3,40.09,49.41,-4.903060589312941
FUFVUX02-S4,TPSSh,def2-TZVP,649.0,0.0,2.0,0.721502,322.1,3359.3,16.0,154587.0,-2913.37999642,-2913.10022304,0.07267668,-2913.17289972,19.04,23.28,31.41,35.96,-5.891787713205832
JAWJAT01-S4,TPSSh,def2-TZVP,1119.0,0.0,2.0,0.039075,471.36,3484.2,16.0,572481.0,-2797.24828943,-2796.78841379,0.09217044,-2796.88058423,18.92,25.86,29.4,33.81,-6.6101155645232685
JUWPIA10-S2,TPSSh,def2-TZVP,1263.0,0.0,2.0,0.01816,531.9,3538.7,16.0,989077.0,-3592.10765766,-3591.44629884,0.11520733,-3591.56150616,17.65,24.94,34.72,35.72,-5.798914789164331
KIQREL-S4,TPSSh,def2-TZVP,1290.0,0.0,2.0,0.096082,650.22,3397.9,16.0,661678.0,-7922.22297764,-7921.76282747,0.09476082,-7921.85758829,15.59,24.23,25.14,26.03,-4.7643255135031035
KIQRIP-S4,TPSSh,def2-TZVP,2045.0,0.0,2.0,0.037275,935.51,3310.0,16.0,2626931.0,-8816.08189589,-8815.3921509,0.11811923,-8815.51027014,16.0,25.26,28.1,30.43,-4.603778899505301
KIQROV-S4,TPSSh,def2-TZVP,1515.0,0.0,2.0,0.016789,615.53,3393.2,16.0,1019912.0,-3216.11349675,-3215.52907545,0.10473357,-3215.63380902,19.96,23.52,28.87,37.28,-4.450926231653818
LEGWAW-S4,TPSSh,def2-TZVP,1549.0,0.0,2.0,0.057039,689.63,3189.5,16.0,1275832.0,-4548.33172463,-4547.63457151,0.12391677,-4547.75848828,6.36,10.38,17.19,23.26,-5.663115236151854
OZIMIV-S4,TPSSh,def2-TZVP,861.0,0.0,2.0,0.007668,387.25,3640.0,16.0,239916.0,-2545.80872436,-2545.52407309,0.07538446,-2545.59945755,36.36,44.79,53.68,62.46,-5.339734682006174
PEBSEW-S4,TPSSh,def2-TZVP,1305.0,0.0,2.0,0.065393,551.4,3475.0,16.0,678664.0,-3100.25290827,-3099.75592805,0.0994951,-3099.85542315,13.91,26.31,27.77,27.86,-6.372011084556976
PEBSOG-S4,TPSSh,def2-TZVP,1713.0,0.0,2.0,0.014441,705.57,3094.6,16.0,1187831.0,-3594.64499858,-3594.00203159,0.11733183,-3594.11936342,10.6,17.93,18.56,20.13,-6.085825134055992
PEBSUM-S4,TPSSh,def2-TZVP,1613.0,0.0,2.0,0.006651,653.58,3434.9,16.0,1045360.0,-3370.28921497,-3369.62268494,0.11773207,-3369.74041701,8.93,9.44,9.97,15.04,-4.629805603509314
RIPSEO-S2,TPSSh,def2-TZVP,1327.0,0.0,2.0,0.022951,539.72,3391.6,16.0,914157.0,-3236.89081841,-3236.27754106,0.10381623,-3236.38135728,18.37,27.97,32.96,36.09,-5.228140432151753
RIPSIS-S2,TPSSh,def2-TZVP,1179.0,0.0,2.0,0.034638,487.65,3477.9,16.0,674134.0,-3082.01823375,-3081.47734313,0.09432009,-3081.57166322,12.59,22.19,22.92,32.3,-5.064204602221099
