Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
BIHGEE-S4,M06L,def2-TZVP,1489.0,0.0,2.0,0.079153,654.37,3601.0,16.0,467351.0,-4376.23528292,-4375.64111894,0.10580068,-4375.74691962,13.18,18.88,31.19,31.58
BIHGII-S4,M06L,def2-TZVP,1511.0,0.0,2.0,0.117074,743.27,13034.8,16.0,735644.0,-8603.9458685,-8603.35195807,0.10705404,-8603.45901212,15.15,21.74,31.05,31.56
BUQVOY-S2,M06L,def2-TZVP,1878.0,0.0,2.0,0.071749,871.33,7166.9,16.0,769466.0,-4469.58535927,-4468.80409128,0.12226533,-4468.92635661,12.73,17.67,24.05,26.08
CETBOV-S4,M06L,def2-TZVP,1647.0,0.0,2.0,0.235678,797.32,7199.9,16.0,647228.0,-8794.75680538,-8794.11421927,0.1097547,-8794.22397396,26.99,30.54,33.91,35.5
CETBUB-S4,M06L,def2-TZVP,1749.0,0.0,2.0,0.053584,753.7,7200.3,16.0,919185.0,-4628.77567388,-4628.10925431,0.11568338,-4628.22493768,20.0,22.03,28.25,31.54
CTPYCO01-S4,M06L,def2-TZVP,743.0,0.0,2.0,0.041316,363.1,1997.4,16.0,58274.0,-3045.98089217,-3045.72943031,0.06314647,-3045.79257678,31.23,54.44,69.07,71.17
DAHROU01-S4,M06L,def2-TZVP,849.0,0.0,2.0,0.013738,405.15,2712.6,16.0,100250.0,-2741.68781921,-2741.42919732,0.08004965,-2741.50924697,17.67,28.45,35.4,47.28
FUFVUX02-S4,M06L,def2-TZVP,649.0,0.0,2.0,0.532441,322.1,1596.4,16.0,85286.0,-2913.15356252,-2912.87174708,0.07222552,-2912.9439726,4.61,13.93,35.46,41.49
JAWJAT01-S4,M06L,def2-TZVP,1119.0,0.0,2.0,0.023997,471.36,3602.3,16.0,258276.0,-2796.9438012,-2796.48078214,0.09207164,-2796.57285378,15.58,19.26,35.99,39.97
JUWPIA10-S2,M06L,def2-TZVP,1263.0,0.0,2.0,0.027133,531.9,3635.5,16.0,335823.0,-3591.76003538,-3591.09361962,0.11358962,-3591.20720923,20.34,27.78,29.75,39.49
KIQREL-S4,M06L,def2-TZVP,1290.0,0.0,2.0,0.034781,650.22,3608.4,16.0,189927.0,-7921.87856762,-7921.41553748,0.09423385,-7921.50977133,14.36,20.99,25.03,25.36
KIQRIP-S4,M06L,def2-TZVP,2045.0,0.0,2.0,0.046999,935.51,7142.6,16.0,928188.0,-8815.59032056,-8814.89585196,0.11610181,-8815.01195377,21.4,25.82,34.09,36.99
KIQROV-S4,M06L,def2-TZVP,1515.0,0.0,2.0,0.024013,615.53,3622.0,16.0,394122.0,-3215.7292918,-3215.14057677,0.10426541,-3215.24484218,11.98,24.73,26.04,29.34
LEGWAW-S4,M06L,def2-TZVP,1549.0,0.0,2.0,0.035376,689.63,7176.8,16.0,429538.0,-4547.87894744,-4547.17625707,0.12027706,-4547.29653413,10.62,15.76,25.49,28.24
OZIMIV-S4,M06L,def2-TZVP,861.0,0.0,2.0,0.016771,387.25,2983.2,16.0,107258.0,-2545.54628847,-2545.26079217,0.07639275,-2545.33718492,31.17,32.12,48.6,56.51
PEBSEW-S4,M06L,def2-TZVP,1305.0,0.0,2.0,0.017141,551.4,3621.4,16.0,412820.0,-3099.89946486,-3099.3989169,0.09878051,-3099.49769741,14.74,26.21,32.22,32.89
PEBSOG-S4,M06L,def2-TZVP,1713.0,0.0,2.0,0.017389,705.57,3560.7,16.0,356627.0,-3594.20398379,-3593.55641128,0.11497132,-3593.6713826,7.15,20.75,21.35,24.41
PEBSUM-S4,M06L,def2-TZVP,1613.0,0.0,2.0,0.011789,653.58,3644.7,16.0,446325.0,-3369.86208349,-3369.1915869,0.11532009,-3369.30690699,11.16,12.09,15.96,17.51
RIPSEO-S2,M06L,def2-TZVP,1327.0,0.0,2.0,0.034543,539.72,3611.2,16.0,539845.0,-3236.53170808,-3235.91382127,0.10238835,-3236.01620962,14.29,26.74,33.29,34.08
RIPSIS-S2,M06L,def2-TZVP,1179.0,0.0,2.0,0.03655,487.65,3604.3,16.0,254976.0,-3081.68920939,-3081.1438095,0.09212684,-3081.23593634,16.4,30.17,31.82,35.34
SAPBIV-S4,M06L,def2-TZVP,749.0,0.0,2.0,0.594745,366.11,2037.1,16.0,70869.0,-3063.22683641,-3062.94859689,0.05824866,-3063.00684555,73.88,126.4,138.13,142.96
SEQFIE-S4,M06L,def2-TZVP,613.0,0.0,2.0,0.680811,320.05,1200.3,16.0,51076.0,-2942.86463943,-2942.65220529,0.0644902,-2942.7166955,16.04,23.78,35.55,63.51
TPORCP11-S2,M06L,def2-TZVP,1701.0,0.0,2.0,0.016779,671.63,3597.3,16.0,360615.0,-3295.85030528,-3295.21323408,0.09870865,-3295.31194273,8.46,30.27,31.86,42.78
TUBTIT-S2,M06L,def2-TZVP,704.0,0.0,2.0,0.028456,293.26,2244.7,16.0,54928.0,-2118.3193332,-2117.94257347,0.05701758,-2117.99959105,151.27,164.49,169.35,191.46
UKUJUG-S4,M06L,def2-TZVP,1253.0,0.0,2.0,0.057724,483.54,3600.7,16.0,325809.0,-2657.38246974,-2656.76356936,0.09233412,-2656.85590348,21.85,25.47,28.24,36.22
VIYGIU-S4,M06L,def2-TZVP,1181.0,0.0,2.0,0.029172,495.38,7220.1,16.0,399517.0,-2873.14394285,-2872.63870399,0.07467732,-2872.71338131,69.87,74.34,77.37,105.79
XIZLUO04-S4,M06L,def2-TZVP,897.0,0.0,2.0,0.020673,447.32,3487.8,16.0,215403.0,-3431.99072141,-3431.65018054,0.07057499,-3431.72075554,88.04,101.82,108.2,124.8
YUDGUA02-S4,M06L,def2-TZVP,1625.0,0.0,2.0,0.115583,708.42,7240.1,16.0,524413.0,-4567.04627601,-4566.40335727,0.10826175,-4566.51161901,24.75,27.72,34.07,34.44
