Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,B3LYP,def2-TZVP,1489.0,0.0,4.0,0.011959,654.37,3285.9,16.0,770951.0,-4375.35155355,-4374.75994425,0.10862249,-4374.86856675,13.48,16.91,23.97,24.65,-5.3470578026133
BIHGII-S4,B3LYP,def2-TZVP,1511.0,0.0,4.0,0.012668,743.27,3379.7,16.0,820170.0,-8603.11785087,-8602.52642365,0.11006468,-8602.63648833,13.86,17.57,22.17,24.45,-5.356416999208081
BUQVOY-S2,B3LYP,def2-TZVP,1878.0,0.0,4.0,0.015926,871.33,3409.6,16.0,1699963.0,-4468.34403072,-4467.56665754,0.12543853,-4467.69209607,18.02,18.85,23.31,28.71,-4.702179527480641
CETBOV-S4,B3LYP,def2-TZVP,1647.0,0.0,4.0,0.01226,797.32,3273.4,16.0,1011736.0,-8793.83825813,-8793.19854756,0.11216019,-8793.31070775,20.63,23.54,27.35,29.51,-4.561944861804762
CETBUB-S4,B3LYP,def2-TZVP,1749.0,0.0,4.0,0.014466,753.7,3260.9,16.0,1503141.0,-4627.71227165,-4627.04909211,0.12032613,-4627.16941823,14.57,17.63,19.0,19.3,-4.0293761904484064
CTPYCO01-S4,B3LYP,def2-TZVP,743.0,0.0,4.0,0.014174,363.1,3708.5,16.0,96400.0,-3045.50880278,-3045.25854905,0.06633643,-3045.32488548,30.11,45.04,55.08,70.6,-5.333707202112462
DAHROU01-S4,B3LYP,def2-TZVP,849.0,0.0,4.0,0.005343,405.15,3742.6,16.0,168090.0,-2741.18105403,-2740.92384427,0.08115714,-2741.0050014,19.08,28.39,38.83,46.15,-5.582528935249477
FUFVUX02-S4,B3LYP,def2-TZVP,649.0,0.0,4.0,0.007032,322.1,3352.6,16.0,102646.0,-2912.7727318,-2912.49247205,0.07341799,-2912.56589004,22.98,25.82,29.61,35.35,-6.2932191657267325
JAWJAT01-S4,B3LYP,def2-TZVP,1119.0,0.0,4.0,0.005799,471.36,3637.9,16.0,458864.0,-2796.32556837,-2795.86577201,0.09479934,-2795.96057136,15.51,19.27,25.11,34.46,-4.371148023562871
JUWPIA10-S2,B3LYP,def2-TZVP,1263.0,0.0,4.0,0.007566,531.9,3534.6,16.0,867950.0,-3590.98263349,-3590.32123696,0.11653129,-3590.43776826,19.95,32.86,35.02,38.36,-4.975006048220012
KIQREL-S4,B3LYP,def2-TZVP,1290.0,0.0,4.0,0.009187,650.22,3393.0,16.0,481227.0,-7921.17294572,-7920.71195516,0.09710186,-7920.80905702,12.55,18.65,23.06,25.93,-4.282961052113837
KIQRIP-S4,B3LYP,def2-TZVP,2045.0,0.0,4.0,0.00851,935.51,3301.3,16.0,2162208.0,-8814.41289023,-8813.72138122,0.12105816,-8813.84243938,12.54,23.03,25.61,27.29,-4.664624077791955
KIQROV-S4,B3LYP,def2-TZVP,1515.0,0.0,4.0,0.011003,615.53,3387.3,16.0,742865.0,-3214.85506427,-3214.26988131,0.10722138,-3214.37710268,18.37,19.98,29.16,32.86,-5.640873075145298
LEGWAW-S4,B3LYP,def2-TZVP,1549.0,0.0,4.0,0.007466,689.63,3186.0,16.0,615834.0,-4546.95017148,-4546.25211254,0.12545396,-4546.37756649,6.39,8.94,11.5,13.05,-5.2240523355716
OZIMIV-S4,B3LYP,def2-TZVP,861.0,0.0,4.0,0.006599,387.25,3742.6,16.0,194440.0,-2545.02341373,-2544.73834983,0.07748397,-2544.8158338,30.93,48.0,53.08,54.73,-4.6861129106510795
PEBSEW-S4,B3LYP,def2-TZVP,1305.0,0.0,4.0,0.005017,551.4,3454.0,16.0,479372.0,-3099.16083326,-3098.66377448,0.10189831,-3098.76567279,12.33,20.53,24.46,27.34,-5.776123910595591
PEBSOG-S4,B3LYP,def2-TZVP,1713.0,0.0,4.0,0.006003,705.57,3087.4,16.0,1013561.0,-3593.22368222,-3592.57990185,0.12002126,-3592.69992311,10.38,15.04,15.62,18.85,-4.961505965525701
PEBSUM-S4,B3LYP,def2-TZVP,1613.0,0.0,4.0,0.005491,653.58,3425.7,16.0,1002368.0,-3368.97201238,-3368.30458548,0.11931066,-3368.42389614,8.64,10.08,11.21,14.04,-4.060815684420135
RIPSEO-S2,B3LYP,def2-TZVP,1327.0,0.0,4.0,0.009587,539.72,3386.6,16.0,925276.0,-3235.7363972,-3235.12293098,0.10686182,-3235.22979281,9.93,20.78,29.91,32.51,-4.877890168525593
RIPSIS-S2,B3LYP,def2-TZVP,1179.0,0.0,4.0,0.009231,487.65,3472.0,16.0,674770.0,-3080.97990366,-3080.43908597,0.09680085,-3080.53588682,8.79,22.99,24.75,27.56,-4.611937357144436
SAPBIV-S4,B3LYP,def2-TZVP,749.0,0.0,4.0,0.007182,366.11,3677.3,16.0,94835.0,-3062.78833555,-3062.52599659,0.06904442,-3062.59504101,16.68,19.08,31.14,61.81,-4.694016786957316
SEQFIE-S4,B3LYP,def2-TZVP,613.0,0.0,4.0,0.007375,320.05,2640.2,16.0,67980.0,-2942.50434157,-2942.29193776,0.06487983,-2942.35681758,21.86,27.45,33.15,80.49,-5.672341169542632
TPORCP11-S2,B3LYP,def2-TZVP,1701.0,0.0,4.0,0.008048,671.63,3427.6,16.0,919676.0,-3294.86128927,-3294.2291566,0.10260732,-3294.33176392,13.66,21.57,27.4,27.73,-5.638494558221275
TUBTIT-S2,B3LYP,def2-TZVP,704.0,0.0,4.0,0.010955,293.26,3738.0,16.0,109315.0,-2117.9016436,-2117.54543179,0.07579707,-2117.62122887,6.15,38.55,49.56,82.1,-6.239908117554071
UKUJUG-S4,B3LYP,def2-TZVP,1253.0,0.0,4.0,0.016205,483.54,3455.2,16.0,430377.0,-2656.70450803,-2656.08872864,0.09727883,-2656.18600747,13.26,18.9,23.4,26.44,-5.4276743692160805
VIYGIU-S4,B3LYP,def2-TZVP,1181.0,0.0,4.0,0.00617,495.38,3462.1,16.0,531838.0,-2872.48020138,-2872.00395262,0.09539504,-2872.09934766,18.89,21.94,25.29,28.38,-4.742223459314101
XIZLUO04-S4,B3LYP,def2-TZVP,897.0,0.0,4.0,0.004985,447.32,3694.3,16.0,392806.0,-3431.43417313,-3431.11786895,0.08870393,-3431.20657288,12.78,34.77,38.55,42.64,-6.268612025804786
YUDGUA02-S4,B3LYP,def2-TZVP,1625.0,0.0,4.0,0.011578,708.42,3189.5,16.0,1065793.0,-4566.07119129,-4565.43126308,0.11065457,-4565.54191765,20.24,23.9,30.33,31.32,-4.795434448416909
