Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Smallest log10(kcal mol-1) SCF Energy Diff
BIHGEE-S4,PBE0,def2-TZVP,1489.0,0.0,4.0,0.013251,654.37,3288.9,16.0,802201.0,-4374.0406744,-4373.44595962,0.1083738,-4373.55433341,13.91,16.91,23.37,25.57,-4.530715543035963
BIHGII-S4,PBE0,def2-TZVP,1511.0,0.0,4.0,0.014128,743.27,3383.5,16.0,863606.0,-8601.63816854,-8601.04365073,0.10978235,-8601.15343308,14.52,18.65,21.75,25.69,-4.967490028343638
BUQVOY-S2,PBE0,def2-TZVP,1878.0,0.0,4.0,0.01828,871.33,3415.0,16.0,2112811.0,-4466.96894246,-4466.18759975,0.12466182,-4466.31226157,19.45,20.36,29.09,30.8,-4.345133100904481
CETBOV-S4,PBE0,def2-TZVP,1647.0,0.0,4.0,0.013621,797.32,3276.7,16.0,1390436.0,-8792.2663242,-8791.62304733,0.1119214,-8791.73496873,19.77,23.71,26.63,28.1,-6.043828842849381
CETBUB-S4,PBE0,def2-TZVP,1749.0,0.0,4.0,0.015096,753.7,3264.8,16.0,1749819.0,-4626.20065273,-4625.53350448,0.11989505,-4625.65339953,13.77,15.94,19.39,19.84,-5.231590905443598
CTPYCO01-S4,PBE0,def2-TZVP,743.0,0.0,4.0,0.013852,363.1,3708.8,16.0,119752.0,-3044.72622091,-3044.47428432,0.06603878,-3044.5403231,30.95,44.43,55.6,71.01,-5.50306343404919
DAHROU01-S4,PBE0,def2-TZVP,849.0,0.0,4.0,0.00547,405.15,3743.2,16.0,173850.0,-2740.226574,-2739.96636559,0.08054505,-2740.04691064,18.63,29.33,39.08,46.77,-5.286455822426042
FUFVUX02-S4,PBE0,def2-TZVP,649.0,0.0,4.0,0.007269,322.1,3359.7,16.0,97947.0,-2912.07607903,-2911.79402486,0.07309704,-2911.8671219,22.77,25.93,29.98,34.51,-5.743347545277216
JAWJAT01-S4,PBE0,def2-TZVP,1119.0,0.0,4.0,0.005389,471.36,3638.7,16.0,379627.0,-2795.33480395,-2794.87204275,0.09541667,-2794.96745941,11.42,14.35,15.54,21.62,-5.376883264060356
JUWPIA10-S2,PBE0,def2-TZVP,1263.0,0.0,4.0,0.008393,531.9,3537.0,16.0,895311.0,-3589.92223927,-3589.25865105,0.11639016,-3589.37504122,22.4,35.27,36.53,39.09,-4.552201898605651
