Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,<S**2> Deviation,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code
AXUMEL-S2,PBE0,def2-TZVP,765.0,0.0,6.0,0.065192,450.67,3267.2,16.0,312173.0,-5689.7982378,-5689.5751686,0.07949399,-5689.65466258,10.12,13.7,22.91,25.99,
AZULIQ-S6,PBE0,def2-TZVP,1031.0,0.0,6.0,0.006329,458.28,3589.1,16.0,209382.0,-3142.45436734,-3141.96690846,0.0925806,-3142.05948906,15.08,25.93,27.24,29.4,
BIKZUQ10-S6,PBE0,def2-TZVP,959.0,0.0,6.0,0.005174,443.45,3652.1,16.0,184704.0,-3036.83268541,-3036.48756454,0.09104763,-3036.57861217,17.72,21.87,24.25,25.42,
BUBGEL-S6,PBE0,def2-TZVP,1483.0,0.0,6.0,0.009076,618.22,3326.8,16.0,851527.0,-3988.32354616,-3987.49113839,0.14226636,-3987.63340475,20.07,25.44,26.95,36.28,
BUBGUB-S6,PBE0,def2-TZVP,1447.0,0.0,6.0,0.009374,521.74,3474.6,16.0,858149.0,-2480.20036324,-2479.31531582,0.1114601,-2479.42677592,31.2,36.5,39.54,46.37,
BUSMOR-S6,PBE0,def2-TZVP,843.0,0.0,6.0,0.018979,380.85,3631.4,16.0,114348.0,-3044.03427648,-3043.54594014,0.0916014,-3043.63754155,30.44,35.93,36.34,70.53,
CAZZUY-S6,PBE0,def2-TZVP,1189.0,0.0,6.0,0.029334,473.49,3525.1,16.0,329995.0,-2849.66782244,-2848.99818159,0.10813473,-2849.10631632,13.61,16.12,25.66,28.13,
CEBBAM-S2,PBE0,def2-TZVP,1053.0,0.0,6.0,0.020516,459.34,3451.5,16.0,525467.0,-3301.30997182,-3300.72292005,0.10286812,-3300.82578817,22.13,25.0,29.39,34.98,
EQEGEN-S6,PBE0,def2-TZVP,1279.0,0.0,6.0,0.004842,543.62,3364.0,16.0,640337.0,-3282.14614388,-3281.61176218,0.11585731,-3281.72761949,8.43,8.75,10.9,11.08,
GIQMUO-S6,PBE0,def2-TZVP,1116.0,0.0,6.0,0.003411,567.16,3598.9,16.0,253189.0,-3371.69674858,-3371.42286736,0.10453805,-3371.52740541,12.43,12.92,14.89,17.29,
HEVCEQ-S6,PBE0,def2-TZVP,857.0,0.0,6.0,0.006158,380.26,3541.4,16.0,153672.0,-2840.99553481,-2840.51817077,0.07165852,-2840.5898293,88.04,95.91,109.35,120.82,
IKEQUK-S6,PBE0,def2-TZVP,1527.0,0.0,6.0,0.005449,655.68,11268.1,16.0,744598.0,-3727.35437026,-3726.77175476,0.13002669,-3726.90178145,4.42,10.55,11.54,12.96,
IMAFEH-S4,PBE0,def2-TZVP,1813.0,0.0,6.0,0.035834,725.67,3061.5,16.0,1575237.0,-3312.83217373,-3312.19521162,0.10435819,-3312.29956981,19.23,28.08,34.78,36.44,
KASNUQ-S6,PBE0,def2-TZVP,1437.0,0.0,6.0,0.006865,701.3,3359.3,16.0,494879.0,-7902.40528265,-7901.81771415,0.10445448,-7901.92216863,18.32,25.31,27.95,31.54,
KEYPIT-S6,PBE0,def2-TZVP,799.0,0.0,6.0,0.004706,367.19,3360.0,16.0,200695.0,-2322.06490267,-2321.79308817,0.08082025,-2321.87390842,14.06,25.42,27.05,39.65,
MNPHCY21-S4,PBE0,def2-TZVP,1381.0,0.0,6.0,0.06285,567.47,3335.6,16.0,587997.0,-2816.70183644,-2816.25837621,0.08390573,-2816.34228194,18.83,41.69,46.49,54.31,
NUYZIS-S6,PBE0,def2-TZVP,855.0,0.0,6.0,0.02674,379.5,3619.0,16.0,122264.0,-2968.03358083,-2967.51624416,0.10073494,-2967.6169791,5.49,18.58,24.11,24.32,
ODIZEG-S2,PBE0,def2-TZVP,1103.0,0.0,6.0,0.008116,445.44,3422.8,16.0,329488.0,-2771.1598296,-2770.54696118,0.10648183,-2770.65344301,4.93,7.81,16.28,39.32,
OKUXUO-S6,PBE0,def2-TZVP,978.0,0.0,6.0,0.011495,445.44,3649.0,16.0,336428.0,-3007.21675295,-3006.88750071,0.08411489,-3006.9716156,9.94,10.97,15.02,16.27,
QABBAA-S6,PBE0,def2-TZVP,1669.0,0.0,6.0,0.0185,650.11,3427.3,16.0,1042369.0,-3654.12676667,-3653.05931241,0.15957031,-3653.21888272,19.95,21.73,23.95,29.39,
SEWMUC-S6,PBE0,def2-TZVP,3107.0,0.0,6.0,0.003865,1284.2,33240.9,16.0,,,,,,,,,,"Unknown Error, probably timeout"
SUTWOT-S6,PBE0,def2-TZVP,1889.0,0.0,6.0,0.003417,861.48,6382.1,16.0,820712.0,-4316.04670272,-4315.50862023,0.1413893,-4315.65000952,6.34,8.04,8.49,9.66,
TAWFUT-S6,PBE0,def2-TZVP,1563.0,0.0,6.0,0.004418,707.8,3252.8,16.0,729532.0,-4531.77620378,-4531.15617186,0.12521495,-4531.28138681,8.47,13.02,14.94,15.71,
TOGPEK-S6,PBE0,def2-TZVP,1821.0,0.0,6.0,0.065821,848.22,3047.5,16.0,1334934.0,-6015.62061934,-6014.87910466,0.14065965,-6015.01976431,12.27,12.87,17.41,19.36,
TUSBIT-S6,PBE0,def2-TZVP,904.0,0.0,6.0,0.004949,405.23,7220.3,16.0,394879.0,-2437.34661368,-2437.03327291,0.08408966,-2437.11736257,9.01,24.83,34.43,42.55,
VAQDUM-S6,PBE0,def2-TZVP,1703.0,0.0,6.0,0.003662,781.42,6383.1,16.0,655274.0,-4021.15529634,-4020.65245342,0.12863378,-4020.7810872,7.69,10.5,10.8,11.9,
