Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1)
RUMXUV_1_protonated,WB97M-D3BJ,def2-TZVP,735.0,0.0,1.0,315.32,2724.8,8.0,69228.0,-1437.83918339,-1437.55743896,0.06327222,-1437.62071118,43.12,47.47,80.27,88.3
SHOMYC_1_protonated,WB97M-D3BJ,def2-TZVP,562.0,0.0,1.0,229.19,1456.0,8.0,33078.0,-856.29160388,-856.06622403,0.05479187,-856.1210159,45.67,78.71,88.3,122.46
SICNOJ_protonated,WB97M-D3BJ,def2-TZVP,629.0,0.0,1.0,239.27,2049.6,8.0,62273.0,-823.71196654,-823.41041979,0.0607972,-823.47121699,17.91,47.22,78.57,83.65
THPRIB_1_protonated,WB97M-D3BJ,def2-TZVP,667.0,0.0,1.0,284.31,2171.7,8.0,47009.0,-1307.11583055,-1306.85765666,0.05810396,-1306.91576061,39.63,54.08,82.14,116.76
ULEROS_protonated,WB97M-D3BJ,def2-TZVP,789.0,0.0,1.0,305.32,3024.3,8.0,106782.0,-1091.31537031,-1090.9207906,0.07184574,-1090.99263633,34.83,42.74,56.57,63.75
UXADUV_1,WB97M-D3BJ,def2-TZVP,716.0,0.0,1.0,288.25,2710.2,8.0,68766.0,-1069.3898973,-1069.07621062,0.0566302,-1069.13284082,43.57,60.68,92.49,113.8
VELWEO,WB97M-D3BJ,def2-TZVP,654.0,0.0,1.0,240.31,2205.7,8.0,63838.0,-762.65511276,-762.35609713,0.05581675,-762.41191388,66.43,72.4,108.21,112.87
WEKKUT_3_protonated,WB97M-D3BJ,def2-TZVP,864.0,0.0,1.0,336.36,2988.6,8.0,99914.0,-1175.80774872,-1175.42010916,0.06796544,-1175.4880746,40.24,54.03,62.67,73.01
WINQUG_protonated,WB97M-D3BJ,def2-TZVP,888.0,0.0,1.0,324.41,2981.8,8.0,147830.0,-1037.27449909,-1036.846416,0.07209384,-1036.91850984,25.65,37.34,53.06,59.73
YABLOC,WB97M-D3BJ,def2-TZVP,604.0,0.0,1.0,230.26,1906.7,8.0,56943.0,-802.89305573,-802.58212294,0.05777702,-802.63989996,45.4,63.65,81.59,88.49
YEBBEM,WB97M-D3BJ,def2-TZVP,857.0,0.0,1.0,328.35,3006.6,8.0,128648.0,-1151.48309949,-1151.05833775,0.07167106,-1151.1300088,23.81,30.51,48.84,53.46
YUPJOJ,WB97M-D3BJ,def2-TZVP,468.0,0.0,1.0,176.21,1063.8,8.0,26834.0,-615.73121914,-615.47073178,0.04968309,-615.52041487,46.23,74.38,124.5,132.71
ZADJIX_1,WB97M-D3BJ,def2-TZVP,716.0,0.0,1.0,280.27,2768.7,8.0,56586.0,-995.15102748,-994.83989528,0.061706,-994.90160128,36.4,55.12,64.44,81.3
