Identifier,Method,Basis Set,Number of Basis Functions,Charge,Multiplicity,Molecular Weight,RAM Used (MB),Number of Processors,Total CPU Time (s),Electronic Energy (HF),Enthalpy (HF),Entropy (HF),Gibbs Free Energy (HF),Vibrational Frequency 6 (cm-1),Vibrational Frequency 7 (cm-1),Vibrational Frequency 8 (cm-1),Vibrational Frequency 9 (cm-1),Error Code,Smallest log10(kcal mol-1) SCF Energy Diff
REGXAC_CREST257,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1447.6,8.0,167337.0,-944.40594329,-943.83076845,0.0692612,-943.90002965,49.25,66.46,86.34,93.75,,-5.213450007815481
REGXAC_CREST258,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.5,8.0,167672.0,-944.39618455,-943.82131073,0.07064268,-943.89195341,42.54,68.31,72.78,86.5,,-5.336522170491142
REGXAC_CREST259,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.0,8.0,144265.0,-944.40365746,-943.82864561,0.06964218,-943.89828779,52.37,86.74,103.8,106.89,,-4.709837374660706
REGXAC_CREST26,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.4,8.0,119738.0,-944.41360427,-943.83879555,0.06997623,-943.90877178,42.38,60.23,76.05,83.24,,-4.590357030086051
REGXAC_CREST260,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.6,16.0,535043.0,-944.39946085,-943.82380239,0.06689376,-943.89069615,-289.96,59.28,86.2,120.09,,-4.9426734718461685
REGXAC_CREST261,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.2,8.0,144516.0,-944.39482143,-943.820498,0.06999329,-943.89049128,46.22,62.7,68.28,99.3,,-5.411362603294517
REGXAC_CREST262,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.4,8.0,173405.0,-944.4001931,-943.82424645,0.07025768,-943.89450413,45.91,57.93,66.14,78.49,,-4.345959677520365
REGXAC_CREST263,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1447.7,8.0,154982.0,-944.39979324,-943.82450868,0.0704861,-943.89499478,31.82,69.42,70.58,92.39,,-4.434657692409001
REGXAC_CREST264,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.0,8.0,273387.0,-944.39701497,-943.81915611,0.06941433,-943.88857044,39.63,65.5,75.18,103.1,,-4.9116104029653584
REGXAC_CREST265,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1438.2,16.0,230058.0,-944.39861853,-943.82470466,0.07036336,-943.89506802,59.95,68.16,78.29,85.73,,-4.848686015904049
REGXAC_CREST266,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.5,8.0,182499.0,-944.39440979,-943.81957953,0.06990259,-943.88948211,43.03,63.28,65.56,100.54,,-5.987347486896932
REGXAC_CREST27,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,235.3,16.0,1188746.0,-944.405656359532,,,,,,,,Optimization Did Not Converge,-4.782520906399305
REGXAC_CREST28,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1441.3,8.0,142553.0,-944.40561343,-943.83004922,0.06948001,-943.89952923,49.58,80.87,89.29,94.53,,-4.368459064857764
REGXAC_CREST29,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.6,8.0,139834.0,-944.40242184,-943.82757097,0.07058263,-943.8981536,52.16,55.72,78.04,84.91,,-5.963575066994669
REGXAC_CREST3,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.9,8.0,123698.0,-944.4100494,-943.83551705,0.07001184,-943.9055289,55.73,65.87,81.03,98.65,,-5.407956853892958
REGXAC_CREST30,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.8,8.0,151811.0,-944.41234398,-943.83685224,0.06999012,-943.90684236,39.2,59.93,67.21,95.86,,-4.532139557338997
REGXAC_CREST31,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1440.7,8.0,140599.0,-944.41048729,-943.8345957,0.06958875,-943.90418444,47.88,66.11,75.82,104.88,,-4.331835320695384
REGXAC_CREST32,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.8,8.0,154804.0,-944.40813986,-943.83355069,0.0703368,-943.90388748,37.27,69.66,87.91,98.02,,-4.413024219809486
REGXAC_CREST33,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1436.2,16.0,133851.0,-944.4123619,-943.83483094,0.06898031,-943.90381125,60.6,77.67,88.79,104.29,,-4.309570633483693
REGXAC_CREST34,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.1,8.0,149151.0,-944.40707202,-943.8320215,0.06972153,-943.90174303,44.37,62.45,73.7,84.03,,-6.340222683847537
REGXAC_CREST35,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1444.3,8.0,136918.0,-944.40361926,-943.82897807,0.07125343,-943.90023151,35.8,58.13,63.62,85.66,,-4.459409091566745
REGXAC_CREST36,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1446.7,8.0,141266.0,-944.4102828,-943.8363301,0.07022859,-943.90655869,48.62,58.88,79.65,91.98,,-4.503896986426401
REGXAC_CREST37,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1445.3,8.0,271551.0,-944.41202459,-943.83444018,0.06901798,-943.90345815,50.56,68.07,82.87,105.85,,-5.3070200149675895
REGXAC_CREST38,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1442.4,8.0,152687.0,-944.41124989,-943.83506125,0.06955406,-943.90461531,49.7,66.0,88.81,107.19,,-4.419210832497575
REGXAC_CREST39,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,234.1,16.0,1008967.0,-944.411182662879,,,,,,,,Optimization Did Not Converge,-4.753752052641406
REGXAC_CREST4,WB97M-D3BJ,def2-TZVP,904.0,0.0,1.0,311.52,1443.3,8.0,135548.0,-944.4110455,-943.83548965,0.06973815,-943.9052278,50.75,70.65,80.31,107.32,,-4.345863483091753
